epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7725,0.000000,0.0040,0.006104,5.244,22
20,0.7852,0.000000,0.0043,0.038818,6.701,24
40,0.7725,0.011475,0.0042,0.248779,11.290,32
60,0.7856,0.165771,0.0048,0.650146,21.432,32
80,0.7764,0.462402,0.0039,0.527832,27.477,32
100,0.7778,0.670654,0.0044,0.327393,29.230,32
120,0.7837,0.759277,0.0044,0.239502,29.927,32
140,0.7803,0.786865,0.0042,0.212646,30.260,32
160,0.7725,0.764160,0.0038,0.234619,29.822,32
180,0.7847,0.761719,0.0035,0.237061,29.882,32
200,0.7881,0.809814,0.0031,0.187744,30.195,32
220,0.7808,0.812500,0.0033,0.185303,30.245,32
240,0.7778,0.806152,0.0037,0.191895,30.271,32
260,0.7856,0.811035,0.0044,0.186523,30.276,32
280,0.7827,0.808594,0.0041,0.189209,30.278,32
300,0.7808,0.800781,0.0029,0.197510,30.176,32
320,0.7764,0.793457,0.0028,0.205078,30.234,32
340,0.7754,0.801025,0.0028,0.197510,30.318,32
360,0.7817,0.793945,0.0029,0.204834,30.229,32
380,0.7803,0.768799,0.0033,0.229004,30.025,32
400,0.7812,0.764648,0.0037,0.232910,30.014,32
420,0.7734,0.784912,0.0044,0.211426,30.050,32
440,0.7817,0.788574,0.0049,0.208252,30.116,32
460,0.7759,0.786377,0.0051,0.212158,30.126,32
480,0.7744,0.770264,0.0049,0.226807,30.062,32
500,0.7832,0.767578,0.0047,0.230469,30.047,32
520,0.7671,0.752197,0.0054,0.246094,29.929,32
540,0.7798,0.718018,0.0057,0.279053,29.771,32
560,0.7759,0.697266,0.0059,0.299561,29.695,32
580,0.7744,0.689453,0.0042,0.308838,29.746,32
600,0.7754,0.703125,0.0039,0.296631,29.725,32
620,0.7852,0.674072,0.0030,0.324219,29.536,32
640,0.7852,0.692871,0.0033,0.305664,29.655,32
660,0.7881,0.692139,0.0032,0.305664,29.642,32
680,0.7803,0.701172,0.0028,0.297852,29.721,32
700,0.7812,0.688721,0.0031,0.310547,29.696,32
720,0.7759,0.665771,0.0026,0.333740,29.679,32
740,0.7803,0.652588,0.0030,0.347168,29.732,32
760,0.7749,0.628418,0.0038,0.370850,29.519,32
780,0.7886,0.646729,0.0032,0.352539,29.622,32
800,0.7803,0.640137,0.0036,0.358887,29.511,32
820,0.7773,0.660156,0.0037,0.339355,29.590,32
840,0.7788,0.687500,0.0046,0.310791,29.615,32
860,0.7773,0.654785,0.0049,0.344238,29.533,32
