epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7767,0.4995,0.4385,0.1091,0.0017,0.0017,0.0000,0,41.6,0.9541,1.0000,0.0153
1000,0.7788,0.9780,0.9773,0.0542,0.7139,0.7139,0.0000,0,198.5,0.8560,1.0000,0.1934
2000,0.7811,0.9829,0.9829,0.0359,0.7891,0.7891,0.0000,0,306.3,0.6072,1.0000,0.1038
3000,0.7756,0.9839,0.9829,0.0801,0.8967,0.8965,0.0000,0,438.4,0.1958,1.0000,0.0903
4000,0.7794,0.9817,0.9817,0.0505,0.9658,0.9658,0.0000,0,492.6,0.0425,1.0000,0.0868
5000,0.7783,0.9824,0.9812,0.0635,0.9648,0.9648,0.0000,0,498.0,0.0291,1.0000,0.0837
6000,0.7775,0.9844,0.9844,0.0525,0.9688,0.9688,0.0000,0,499.3,0.0259,0.9961,0.0813
7000,0.7784,0.9778,0.9778,0.0662,0.9556,0.9556,0.0000,0,496.5,0.0315,1.0000,0.0794
8000,0.7844,0.9829,0.9829,0.0547,0.9651,0.9651,0.0000,0,499.9,0.0244,1.0000,0.0794
9000,0.7719,0.9839,0.9836,0.0679,0.9692,0.9692,0.0000,0,500.6,0.0234,0.9980,0.0840
10000,0.7816,0.9785,0.9783,0.0605,0.9609,0.9607,0.0000,0,497.6,0.0295,0.9980,0.0808
11000,0.7836,0.9810,0.9795,0.1267,0.9644,0.9644,0.0000,0,498.8,0.0269,1.0000,0.0814
12000,0.7823,0.9834,0.9834,0.1191,0.9697,0.9697,0.0000,0,501.0,0.0222,1.0000,0.0815
13000,0.7777,0.9805,0.9785,0.0964,0.9526,0.9526,0.0000,0,497.3,0.0295,0.9980,0.0763
14000,0.7820,0.9832,0.9827,0.0461,0.9678,0.9587,0.0000,0,499.3,0.0256,1.0000,0.0714
15000,0.7812,0.9807,0.9802,0.0447,0.9631,0.9631,0.0000,0,499.7,0.0254,0.9980,0.0697
