epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7744,0.000000,0.0041,0.004639,5.207,22
100,0.7837,0.000000,0.0039,0.006104,5.207,22
200,0.7729,0.000000,0.0040,0.006592,5.218,22
300,0.7866,0.000000,0.0040,0.006836,5.190,22
400,0.7788,0.000000,0.0041,0.008301,5.210,22
500,0.7808,0.000000,0.0041,0.006836,5.203,22
600,0.7715,0.000000,0.0040,0.005127,5.186,22
700,0.7852,0.000000,0.0040,0.005615,5.218,22
800,0.7778,0.000000,0.0040,0.005615,5.231,22
900,0.7700,0.000000,0.0039,0.006592,5.239,22
1000,0.7803,0.000000,0.0039,0.006348,5.223,20
1100,0.7764,0.000000,0.0039,0.005615,5.213,20
1200,0.7725,0.000000,0.0039,0.005127,5.205,22
1300,0.7954,0.000000,0.0040,0.005615,5.222,22
1400,0.7803,0.000000,0.0039,0.005859,5.214,26
1500,0.7705,0.000000,0.0040,0.005371,5.212,26
1600,0.7612,0.000000,0.0040,0.006104,5.216,24
1700,0.7812,0.000000,0.0041,0.007324,5.193,24
1800,0.7769,0.000000,0.0040,0.007080,5.192,24
1900,0.7852,0.000000,0.0040,0.006348,5.195,24
2000,0.7847,0.000000,0.0040,0.006348,5.179,20
2100,0.7764,0.000000,0.0040,0.005371,5.161,20
2200,0.7847,0.000000,0.0040,0.005615,5.152,20
2300,0.7749,0.000000,0.0039,0.006348,5.189,20
2400,0.7822,0.000000,0.0039,0.005371,5.187,20
2500,0.7793,0.000000,0.0039,0.004883,5.162,20
2600,0.7822,0.000000,0.0039,0.006104,5.178,20
2700,0.7881,0.000000,0.0040,0.005615,5.170,20
2800,0.7739,0.000000,0.0040,0.006104,5.179,20
2900,0.7822,0.000000,0.0039,0.005615,5.193,20
3000,0.7837,0.000000,0.0039,0.006104,5.171,20
3100,0.7842,0.000000,0.0038,0.004883,5.173,20
3200,0.7739,0.000000,0.0038,0.004883,5.167,20
3300,0.7773,0.000000,0.0039,0.005615,5.184,24
3400,0.7891,0.000000,0.0039,0.006592,5.224,22
3500,0.7695,0.000000,0.0038,0.007812,5.249,20
3600,0.7744,0.000000,0.0038,0.007080,5.264,20
3700,0.7793,0.000000,0.0039,0.005615,5.272,20
3800,0.7778,0.000000,0.0039,0.005127,5.276,20
3900,0.7876,0.000000,0.0040,0.006104,5.276,22
4000,0.7744,0.000000,0.0040,0.007080,5.280,22
4100,0.7739,0.000000,0.0040,0.006592,5.245,24
4200,0.7773,0.000000,0.0040,0.006104,5.257,20
4300,0.7744,0.000000,0.0040,0.006348,5.273,20
4400,0.7808,0.000000,0.0041,0.006348,5.238,20
4500,0.7769,0.000000,0.0041,0.005127,5.266,20
4600,0.7812,0.000000,0.0040,0.005127,5.258,22
4700,0.7695,0.000000,0.0041,0.005371,5.291,22
4800,0.7866,0.000000,0.0040,0.006348,5.307,24
4900,0.7788,0.000000,0.0040,0.005615,5.306,22
5000,0.7881,0.000000,0.0040,0.007080,5.279,22
5100,0.7817,0.000000,0.0040,0.006104,5.272,22
5200,0.7769,0.000000,0.0040,0.004639,5.259,20
5300,0.7881,0.000000,0.0040,0.004883,5.263,20
5400,0.7837,0.000000,0.0041,0.005859,5.268,20
5500,0.7808,0.000000,0.0040,0.006104,5.289,22
5600,0.7720,0.000000,0.0040,0.006348,5.289,22
5700,0.7803,0.000000,0.0041,0.006348,5.292,22
5800,0.7817,0.000000,0.0041,0.007324,5.267,20
5900,0.7759,0.000000,0.0041,0.006836,5.279,20
6000,0.7720,0.000000,0.0042,0.009277,5.293,22
6100,0.7832,0.000000,0.0042,0.008789,5.307,20
6200,0.7764,0.000000,0.0041,0.008301,5.289,20
6300,0.7817,0.000000,0.0042,0.006836,5.277,22
6400,0.7725,0.000000,0.0041,0.006592,5.286,22
6500,0.7832,0.000000,0.0041,0.007324,5.258,20
6600,0.7793,0.000000,0.0041,0.006348,5.253,22
6700,0.7822,0.000000,0.0042,0.005615,5.249,20
6800,0.7969,0.000000,0.0041,0.006104,5.244,26
6900,0.7725,0.000000,0.0040,0.006836,5.225,24
7000,0.7715,0.000000,0.0040,0.006348,5.188,24
7100,0.7842,0.000000,0.0041,0.005371,5.160,24
7200,0.7778,0.000000,0.0041,0.006348,5.182,24
7300,0.7900,0.000000,0.0040,0.006348,5.187,22
7400,0.7808,0.000000,0.0041,0.007568,5.202,22
7500,0.7749,0.000000,0.0041,0.006836,5.190,20
7600,0.7720,0.000000,0.0041,0.006592,5.197,20
7700,0.7769,0.000000,0.0041,0.006836,5.182,20
7800,0.7832,0.000000,0.0040,0.006836,5.147,22
7900,0.7690,0.000000,0.0040,0.007324,5.163,20
8000,0.7720,0.000000,0.0040,0.005615,5.148,22
8100,0.7788,0.000000,0.0040,0.005859,5.149,22
8200,0.7788,0.000000,0.0039,0.005127,5.142,20
8300,0.7808,0.000000,0.0040,0.006348,5.148,20
8400,0.7700,0.000000,0.0040,0.005615,5.131,22
8500,0.7778,0.000000,0.0039,0.006348,5.142,24
8600,0.7832,0.000000,0.0040,0.005615,5.143,22
8700,0.7734,0.000000,0.0041,0.005127,5.134,22
8800,0.7769,0.000000,0.0039,0.005615,5.111,22
8900,0.7812,0.000000,0.0039,0.006836,5.122,22
9000,0.7842,0.000000,0.0040,0.007324,5.093,20
9100,0.7803,0.000000,0.0040,0.005859,5.063,18
9200,0.7729,0.000000,0.0040,0.006348,5.091,20
9300,0.7861,0.000000,0.0039,0.006836,5.112,20
9400,0.7754,0.000000,0.0039,0.006104,5.142,20
9500,0.7715,0.000000,0.0039,0.005127,5.125,20
9600,0.7832,0.000000,0.0039,0.005615,5.129,23
9700,0.7808,0.000000,0.0040,0.007080,5.120,21
9800,0.7817,0.000000,0.0039,0.006836,5.104,23
9900,0.7739,0.000000,0.0040,0.004150,5.068,23
10000,0.7705,0.000000,0.0039,0.004639,5.076,23
10100,0.7764,0.000000,0.0039,0.003906,5.042,22
10200,0.7808,0.000000,0.0039,0.003906,5.037,22
10300,0.7783,0.000000,0.0039,0.004883,5.082,24
10400,0.7866,0.000000,0.0040,0.004883,5.117,24
10500,0.7754,0.000000,0.0039,0.004639,5.089,24
10600,0.7861,0.000000,0.0038,0.004150,5.113,24
10700,0.7734,0.000000,0.0038,0.004395,5.126,20
10800,0.7891,0.000000,0.0038,0.004395,5.121,20
10900,0.7725,0.000000,0.0038,0.005859,5.144,20
11000,0.7832,0.000000,0.0038,0.006104,5.145,20
11100,0.7778,0.000000,0.0038,0.005127,5.161,20
11200,0.7827,0.000000,0.0038,0.007080,5.158,20
11300,0.7842,0.000000,0.0037,0.006836,5.163,20
11400,0.7817,0.000000,0.0037,0.008301,5.165,20
11500,0.7754,0.000000,0.0037,0.007812,5.152,25
11600,0.7803,0.000000,0.0038,0.008301,5.165,25
11700,0.7754,0.000000,0.0037,0.007324,5.151,25
11800,0.7759,0.000000,0.0038,0.006348,5.113,23
11900,0.7886,0.000000,0.0038,0.005615,5.125,23
12000,0.7788,0.000000,0.0037,0.006104,5.149,23
12100,0.7749,0.000000,0.0037,0.005371,5.165,23
12200,0.7715,0.000000,0.0036,0.006348,5.181,23
12300,0.7803,0.000000,0.0037,0.005615,5.178,23
12400,0.7778,0.000000,0.0036,0.005615,5.179,24
12500,0.7803,0.000000,0.0037,0.005615,5.172,22
12600,0.7886,0.000000,0.0037,0.006592,5.166,20
12700,0.7832,0.000000,0.0038,0.005615,5.180,22
12800,0.7803,0.000000,0.0038,0.006836,5.199,22
12900,0.7827,0.000000,0.0037,0.007080,5.205,24
13000,0.7822,0.000000,0.0038,0.007080,5.210,22
13100,0.7817,0.000000,0.0037,0.006592,5.198,22
13200,0.7847,0.000000,0.0037,0.006104,5.224,22
13300,0.7808,0.000000,0.0038,0.006592,5.236,24
13400,0.7734,0.000000,0.0038,0.006836,5.244,22
13500,0.7710,0.000000,0.0038,0.007080,5.235,20
13600,0.7754,0.000000,0.0038,0.007080,5.254,22
13700,0.7788,0.000000,0.0037,0.007080,5.240,20
13800,0.7744,0.000000,0.0038,0.006592,5.198,24
13900,0.7778,0.000000,0.0037,0.006592,5.167,24
14000,0.7734,0.000000,0.0038,0.005615,5.163,20
14100,0.7720,0.000000,0.0037,0.004883,5.147,22
14200,0.7739,0.000000,0.0037,0.005859,5.143,22
14300,0.7778,0.000000,0.0038,0.006104,5.141,20
14400,0.7773,0.000000,0.0038,0.005859,5.178,20
14500,0.7734,0.000000,0.0039,0.006592,5.201,20
14600,0.7798,0.000000,0.0039,0.006592,5.230,20
