epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7767,0.4993,0.4395,0.1082,0.0017,0.0017,0.0000,0,41.8,0.9534,1.0000,0.0153
1000,0.7788,0.9978,0.9978,0.0039,0.9475,0.9475,0.0000,0,145.3,0.9519,0.9961,0.5177
2000,0.7811,0.9941,0.9941,0.0120,0.9526,0.9514,0.0000,0,156.2,0.9250,1.0000,0.4182
3000,0.7756,0.9976,0.9976,0.0476,0.8713,0.8713,0.0000,0,175.1,0.8804,0.9941,0.3691
4000,0.7794,0.9968,0.9966,0.1067,0.8186,0.8186,0.0000,0,202.9,0.7993,0.9961,0.3205
5000,0.7783,0.9971,0.9971,0.0317,0.6265,0.6265,0.0000,0,236.6,0.7119,0.9980,0.2678
6000,0.7775,0.9976,0.9976,0.0024,0.5200,0.5200,0.0000,0,240.4,0.7065,0.9922,0.2279
7000,0.7784,0.9954,0.9954,0.0000,0.6992,0.6992,0.0000,0,285.0,0.6113,0.9961,0.2100
8000,0.7844,0.9961,0.9961,0.0129,0.5774,0.5774,0.0000,0,317.3,0.4961,0.9980,0.1883
9000,0.7719,0.9966,0.9966,0.0154,0.4290,0.4290,0.0000,0,287.4,0.5576,0.9961,0.1556
10000,0.7816,0.9988,0.9988,0.0322,0.4431,0.4431,0.0000,0,311.8,0.4910,0.9941,0.1394
11000,0.7836,0.9976,0.9976,0.0137,0.3687,0.3687,0.0000,0,301.4,0.5081,0.9980,0.1384
12000,0.7823,0.9978,0.9976,0.0015,0.3325,0.3325,0.0000,0,337.7,0.4358,1.0000,0.1161
13000,0.7777,0.9963,0.9963,0.0002,0.2065,0.2065,0.0000,0,302.2,0.5188,1.0000,0.1071
14000,0.7820,0.9988,0.9988,0.0039,0.2207,0.2207,0.0000,0,272.5,0.5854,0.9980,0.1112
15000,0.7812,0.9973,0.9973,0.0208,0.2354,0.2354,0.0000,0,272.3,0.6064,0.9961,0.1233
