epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
0,0.7861,0.4834,0.4199,0.1125,0.0000,0.0000,0.0000,0,43.1,0.9465,1.0000,0.0143
2000,0.7750,0.1023,0.0725,0.0337,0.0000,0.0000,0.0000,0,19.4,0.9729,1.0000,0.0846
4000,0.7765,0.1125,0.0771,0.0381,0.0000,0.0000,0.0000,0,23.7,0.9651,1.0000,0.0810
6000,0.7802,0.0986,0.0684,0.0332,0.0000,0.0000,0.0000,0,20.4,0.9739,1.0000,0.0835
8000,0.7753,0.1108,0.0757,0.0369,0.0000,0.0000,0.0000,0,20.8,0.9719,1.0000,0.0841
10000,0.7754,0.1099,0.0732,0.0398,0.0000,0.0000,0.0000,0,21.9,0.9690,1.0000,0.0824
12000,0.7816,0.0979,0.0686,0.0317,0.0000,0.0000,0.0000,0,20.9,0.9709,1.0000,0.0832
14000,0.7795,0.0981,0.0742,0.0264,0.0000,0.0000,0.0000,0,23.4,0.9670,1.0000,0.0817
16000,0.7784,0.1096,0.0757,0.0361,0.0000,0.0000,0.0000,0,21.7,0.9702,1.0000,0.0822
18000,0.7760,0.0996,0.0725,0.0310,0.0000,0.0000,0.0000,0,22.4,0.9683,1.0000,0.0852
20000,0.7805,0.1067,0.0771,0.0330,0.0000,0.0000,0.0000,0,21.0,0.9714,1.0000,0.0842
22000,0.7734,0.1025,0.0735,0.0342,0.0000,0.0000,0.0000,0,21.6,0.9709,1.0000,0.0832
24000,0.7798,0.0991,0.0667,0.0361,0.0000,0.0000,0.0000,0,19.2,0.9746,1.0000,0.0860
26000,0.7733,0.1086,0.0757,0.0386,0.0000,0.0000,0.0000,0,18.3,0.9751,0.9980,0.0805
28000,0.7799,0.0981,0.0723,0.0305,0.0000,0.0000,0.0000,0,22.6,0.9683,1.0000,0.0856
30000,0.7805,0.1074,0.0759,0.0347,0.0000,0.0000,0.0000,0,17.1,0.9785,1.0000,0.0811
32000,0.7762,0.1111,0.0764,0.0398,0.0000,0.0000,0.0000,0,21.9,0.9678,1.0000,0.0854
34000,0.7811,0.1123,0.0796,0.0356,0.0000,0.0000,0.0000,0,22.5,0.9683,1.0000,0.0851
36000,0.7725,0.1018,0.0728,0.0320,0.0000,0.0000,0.0000,0,22.8,0.9685,0.9980,0.0811
38000,0.7815,0.1182,0.0879,0.0327,0.0000,0.0000,0.0000,0,20.9,0.9705,1.0000,0.0864
40000,0.7783,0.1011,0.0671,0.0376,0.0000,0.0000,0.0000,0,21.9,0.9697,1.0000,0.0820
42000,0.7775,0.1069,0.0769,0.0334,0.0000,0.0000,0.0000,0,23.5,0.9656,1.0000,0.0833
44000,0.7762,0.1079,0.0791,0.0325,0.0000,0.0000,0.0000,0,20.9,0.9697,1.0000,0.0855
