epoch,selected_frac,func_repl_frac,zero_frac
0,0.7800,0.000122,0.0040
10,0.7826,0.002502,0.0039
20,0.7837,0.021912,0.0037
30,0.7798,0.111450,0.0036
40,0.7765,0.308838,0.0035
50,0.7806,0.532227,0.0031
60,0.7784,0.658691,0.0029
70,0.7825,0.733459,0.0028
80,0.7800,0.782837,0.0024
90,0.7744,0.809143,0.0021
100,0.7742,0.829102,0.0021
110,0.7832,0.847290,0.0021
120,0.7770,0.859558,0.0022
130,0.7817,0.866333,0.0026
140,0.7786,0.868958,0.0026
150,0.7781,0.882690,0.0027
160,0.7823,0.876038,0.0025
170,0.7787,0.883667,0.0024
180,0.7806,0.892334,0.0024
190,0.7891,0.900330,0.0025
200,0.7819,0.899414,0.0022
210,0.7711,0.899963,0.0023
220,0.7770,0.898193,0.0022
230,0.7762,0.900452,0.0021
240,0.7788,0.910156,0.0022
250,0.7781,0.915283,0.0020
260,0.7758,0.915588,0.0020
270,0.7761,0.913086,0.0019
280,0.7805,0.915466,0.0020
290,0.7791,0.910889,0.0021
300,0.7814,0.923401,0.0022
310,0.7744,0.926880,0.0021
320,0.7770,0.925049,0.0020
330,0.7823,0.929199,0.0020
340,0.7808,0.920593,0.0019
350,0.7794,0.922485,0.0018
360,0.7772,0.920532,0.0018
370,0.7814,0.909485,0.0019
380,0.7780,0.914551,0.0019
390,0.7780,0.916931,0.0018
400,0.7820,0.916138,0.0018
410,0.7761,0.921997,0.0017
420,0.7850,0.923157,0.0017
430,0.7794,0.927063,0.0018
440,0.7794,0.929993,0.0019
450,0.7814,0.931763,0.0020
460,0.7820,0.935730,0.0019
470,0.7781,0.937988,0.0020
480,0.7814,0.933228,0.0021
490,0.7798,0.935303,0.0020
500,0.7780,0.932129,0.0020
510,0.7778,0.931763,0.0017
520,0.7798,0.921692,0.0023
530,0.7767,0.922791,0.0023
540,0.7782,0.921143,0.0027
550,0.7787,0.921265,0.0026
560,0.7834,0.924072,0.0025
570,0.7739,0.920105,0.0024
580,0.7794,0.923584,0.0022
590,0.7798,0.921021,0.0022
600,0.7810,0.929199,0.0020
610,0.7809,0.925415,0.0021
620,0.7799,0.925903,0.0023
630,0.7756,0.925476,0.0024
640,0.7832,0.921448,0.0025
650,0.7830,0.920532,0.0025
660,0.7715,0.924011,0.0023
670,0.7786,0.923645,0.0024
680,0.7806,0.921875,0.0024
690,0.7804,0.926758,0.0022
700,0.7758,0.930847,0.0019
710,0.7784,0.934631,0.0018
720,0.7815,0.932312,0.0017
730,0.7781,0.930115,0.0017
740,0.7816,0.927002,0.0016
750,0.7754,0.923950,0.0014
760,0.7797,0.922424,0.0012
770,0.7817,0.929932,0.0012
780,0.7828,0.929626,0.0013
790,0.7753,0.931213,0.0013
800,0.7771,0.927734,0.0012
810,0.7799,0.934692,0.0013
820,0.7759,0.932190,0.0013
830,0.7827,0.927368,0.0013
