epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7725,0.000000,0.0040,0.004883,5.188,22
100,0.7778,0.000000,0.0040,0.005127,5.183,22
200,0.7881,0.000000,0.0041,0.007568,5.231,22
300,0.7808,0.000000,0.0041,0.006348,5.231,22
400,0.7812,0.000000,0.0041,0.005615,5.202,22
500,0.7832,0.000000,0.0041,0.005371,5.188,22
600,0.7754,0.000000,0.0041,0.005127,5.184,24
700,0.7812,0.000000,0.0040,0.004639,5.198,26
800,0.7803,0.000000,0.0039,0.004150,5.166,19
900,0.7725,0.000000,0.0039,0.005615,5.165,19
1000,0.7725,0.000000,0.0040,0.005127,5.159,18
1100,0.7808,0.000000,0.0040,0.005127,5.198,20
1200,0.7690,0.000000,0.0039,0.004395,5.193,20
1300,0.7773,0.000000,0.0039,0.004883,5.194,20
1400,0.7754,0.000000,0.0040,0.005371,5.227,20
1500,0.7842,0.000000,0.0040,0.006104,5.204,22
1600,0.7695,0.000000,0.0040,0.005615,5.202,22
1700,0.7793,0.000000,0.0041,0.005371,5.211,20
1800,0.7700,0.000000,0.0041,0.006836,5.185,20
1900,0.7720,0.000000,0.0041,0.006836,5.180,22
2000,0.7788,0.000000,0.0039,0.008789,5.193,22
2100,0.7788,0.000000,0.0039,0.006836,5.189,22
2200,0.7788,0.000000,0.0039,0.007080,5.230,22
2300,0.7827,0.000000,0.0039,0.006104,5.233,22
2400,0.7764,0.000000,0.0039,0.006348,5.274,20
2500,0.7808,0.000000,0.0040,0.004639,5.263,22
2600,0.7739,0.000000,0.0040,0.005371,5.284,22
2700,0.7817,0.000000,0.0040,0.004883,5.280,22
2800,0.7817,0.000000,0.0040,0.005371,5.272,26
2900,0.7793,0.000000,0.0040,0.004639,5.280,26
3000,0.7739,0.000000,0.0040,0.005615,5.290,22
3100,0.7788,0.000000,0.0041,0.007080,5.262,24
3200,0.7837,0.000000,0.0040,0.008545,5.246,24
3300,0.7920,0.000000,0.0040,0.007080,5.228,22
3400,0.7812,0.000000,0.0039,0.007324,5.204,22
3500,0.7808,0.000000,0.0039,0.006836,5.212,22
3600,0.7783,0.000000,0.0040,0.006348,5.220,22
3700,0.7793,0.000000,0.0040,0.006104,5.234,20
3800,0.7778,0.000000,0.0041,0.006836,5.248,22
3900,0.7803,0.000000,0.0042,0.006104,5.245,22
4000,0.7793,0.000000,0.0041,0.005615,5.228,22
