epoch,selected_frac,func_repl_frac,zero_frac
0,0.7806,0.001343,0.0039
10,0.7789,0.026978,0.0038
20,0.7819,0.121460,0.0039
30,0.7823,0.329346,0.0039
40,0.7799,0.529236,0.0036
50,0.7748,0.652527,0.0034
60,0.7760,0.724792,0.0035
70,0.7814,0.772583,0.0035
80,0.7812,0.795898,0.0037
90,0.7838,0.816711,0.0036
100,0.7834,0.821045,0.0038
110,0.7753,0.833618,0.0037
120,0.7765,0.840149,0.0037
130,0.7799,0.864563,0.0035
140,0.7789,0.859253,0.0033
150,0.7815,0.857239,0.0035
160,0.7809,0.866211,0.0035
170,0.7805,0.875732,0.0036
180,0.7767,0.885742,0.0034
190,0.7792,0.890076,0.0036
200,0.7754,0.891602,0.0035
210,0.7788,0.889954,0.0037
220,0.7789,0.895996,0.0039
230,0.7761,0.899414,0.0038
240,0.7788,0.899902,0.0037
250,0.7806,0.895935,0.0036
260,0.7797,0.889282,0.0035
270,0.7760,0.886597,0.0033
280,0.7842,0.889038,0.0033
290,0.7825,0.887756,0.0031
300,0.7809,0.889282,0.0031
310,0.7792,0.889038,0.0028
320,0.7864,0.889465,0.0031
330,0.7808,0.892944,0.0031
340,0.7747,0.899292,0.0031
350,0.7773,0.892944,0.0030
360,0.7784,0.890137,0.0032
370,0.7770,0.878723,0.0030
380,0.7830,0.876099,0.0032
390,0.7793,0.887024,0.0032
400,0.7806,0.890930,0.0028
410,0.7777,0.891296,0.0028
420,0.7852,0.886719,0.0028
430,0.7758,0.896545,0.0029
440,0.7822,0.890869,0.0032
450,0.7778,0.901733,0.0034
460,0.7733,0.901306,0.0033
470,0.7832,0.898010,0.0035
480,0.7781,0.901978,0.0034
490,0.7770,0.900757,0.0038
500,0.7795,0.898926,0.0034
510,0.7816,0.900940,0.0035
520,0.7837,0.900635,0.0036
530,0.7784,0.915833,0.0037
540,0.7838,0.917603,0.0036
550,0.7766,0.917114,0.0035
560,0.7847,0.922607,0.0034
570,0.7795,0.924744,0.0036
580,0.7820,0.923950,0.0034
590,0.7828,0.924744,0.0035
600,0.7827,0.924561,0.0034
610,0.7780,0.921570,0.0034
620,0.7806,0.921814,0.0034
630,0.7789,0.923218,0.0032
640,0.7797,0.926086,0.0032
650,0.7798,0.930847,0.0033
660,0.7821,0.925171,0.0035
670,0.7819,0.928101,0.0036
680,0.7756,0.926147,0.0035
690,0.7775,0.927856,0.0033
700,0.7827,0.931885,0.0037
710,0.7832,0.934509,0.0038
720,0.7783,0.936462,0.0037
730,0.7770,0.935730,0.0037
740,0.7775,0.933350,0.0039
750,0.7780,0.930420,0.0038
760,0.7832,0.929810,0.0039
770,0.7758,0.934570,0.0039
780,0.7797,0.933838,0.0037
790,0.7806,0.935425,0.0034
800,0.7767,0.936829,0.0035
810,0.7766,0.937012,0.0035
820,0.7814,0.939514,0.0033
