epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7783,0.000000,0.0038,0.007568,5.225,22
100,0.7792,0.000000,0.0037,0.006104,5.191,22
200,0.7802,0.000000,0.0038,0.005859,5.202,24
300,0.7805,0.000000,0.0039,0.005859,5.284,23
400,0.7787,0.000000,0.0039,0.004639,5.187,22
500,0.7803,0.000000,0.0037,0.004395,5.164,18
600,0.7783,0.000000,0.0038,0.006104,5.228,28
700,0.7810,0.000000,0.0037,0.008301,5.232,22
800,0.7799,0.000000,0.0038,0.003662,5.119,20
900,0.7798,0.895020,0.0002,0.104004,29.969,32
1000,0.7786,0.965088,0.0003,0.034668,30.760,32
1100,0.7804,0.976318,0.0003,0.023438,31.134,32
1200,0.7783,0.980469,0.0003,0.018799,31.313,32
1300,0.7778,0.976318,0.0004,0.023682,31.436,32
1400,0.7800,0.981934,0.0006,0.018066,31.492,32
1500,0.7766,0.979736,0.0007,0.020020,31.517,32
1600,0.7789,0.984375,0.0010,0.015381,31.521,32
1700,0.7790,0.981934,0.0009,0.017090,31.557,32
1800,0.7806,0.982666,0.0011,0.017090,31.590,32
1900,0.7789,0.989258,0.0011,0.010498,31.658,32
2000,0.7778,0.984375,0.0010,0.015137,31.659,32
2100,0.7798,0.980225,0.0008,0.019043,31.604,32
2200,0.7761,0.981201,0.0012,0.018066,31.646,32
2300,0.7814,0.985352,0.0011,0.014404,31.655,32
2400,0.7783,0.982178,0.0015,0.016846,31.638,32
2500,0.7766,0.981689,0.0012,0.017822,31.667,32
2600,0.7805,0.980713,0.0013,0.019287,31.685,32
2700,0.7827,0.983398,0.0013,0.016357,31.742,32
2800,0.7805,0.981201,0.0016,0.018066,31.700,32
2900,0.7820,0.985840,0.0018,0.013672,31.701,32
