epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
104000,0.7814,0.0940,0.0686,0.0300,0.0000,0.0000,0.0000,0,20.7,0.9707,1.0000,0.0805
106000,0.7822,0.1106,0.0811,0.0337,0.0000,0.0000,0.0000,0,23.1,0.9685,1.0000,0.0825
108000,0.7795,0.1021,0.0681,0.0378,0.0000,0.0000,0.0000,0,20.6,0.9724,0.9980,0.0815
110000,0.7849,0.1035,0.0681,0.0403,0.0000,0.0000,0.0000,0,22.7,0.9688,1.0000,0.0839
112000,0.7811,0.1025,0.0728,0.0347,0.0000,0.0000,0.0000,0,21.0,0.9707,1.0000,0.0830
114000,0.7783,0.1096,0.0771,0.0371,0.0000,0.0000,0.0000,0,23.2,0.9666,1.0000,0.0805
116000,0.7815,0.1016,0.0696,0.0352,0.0000,0.0000,0.0000,0,20.3,0.9724,1.0000,0.0845
118000,0.7815,0.1118,0.0796,0.0361,0.0000,0.0000,0.0000,0,21.9,0.9692,1.0000,0.0871
120000,0.7821,0.1025,0.0750,0.0315,0.0000,0.0000,0.0000,0,23.8,0.9673,1.0000,0.0835
122000,0.7825,0.1018,0.0732,0.0320,0.0000,0.0000,0.0000,0,21.1,0.9714,1.0000,0.0850
124000,0.7839,0.1003,0.0688,0.0344,0.0000,0.0000,0.0000,0,20.0,0.9734,1.0000,0.0834
126000,0.7817,0.1057,0.0757,0.0342,0.0000,0.0000,0.0000,0,20.8,0.9707,1.0000,0.0836
128000,0.7816,0.1072,0.0747,0.0361,0.0000,0.0000,0.0000,0,20.6,0.9717,0.9980,0.0842
130000,0.7804,0.1125,0.0845,0.0332,0.0000,0.0000,0.0000,0,21.5,0.9697,1.0000,0.0858
132000,0.7767,0.0994,0.0713,0.0312,0.0000,0.0000,0.0000,0,19.5,0.9739,1.0000,0.0843
134000,0.7737,0.1072,0.0771,0.0334,0.0000,0.0000,0.0000,0,18.7,0.9761,1.0000,0.0816
136000,0.7781,0.1079,0.0730,0.0366,0.0000,0.0000,0.0000,0,20.9,0.9724,1.0000,0.0817
138000,0.7823,0.1038,0.0698,0.0386,0.0000,0.0000,0.0000,0,21.9,0.9709,1.0000,0.0821
