epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
104000,0.7819,0.1145,0.0872,0.0320,0.0000,0.0000,0.0000,0,25.6,0.9639,1.0000,0.0791
106000,0.7799,0.1157,0.0874,0.0320,0.0000,0.0000,0.0000,0,23.0,0.9692,1.0000,0.0791
108000,0.7793,0.1050,0.0740,0.0342,0.0000,0.0000,0.0000,0,22.0,0.9702,1.0000,0.0771
110000,0.7791,0.1248,0.0925,0.0383,0.0000,0.0000,0.0000,0,23.7,0.9683,1.0000,0.0797
112000,0.7742,0.1155,0.0825,0.0393,0.0000,0.0000,0.0000,0,22.9,0.9714,1.0000,0.0787
114000,0.7812,0.1191,0.0828,0.0405,0.0000,0.0000,0.0000,0,23.4,0.9675,1.0000,0.0786
116000,0.7811,0.1287,0.0947,0.0386,0.0000,0.0000,0.0000,0,23.4,0.9680,1.0000,0.0798
118000,0.7806,0.1199,0.0830,0.0425,0.0000,0.0000,0.0000,0,23.5,0.9680,1.0000,0.0766
120000,0.7819,0.1213,0.0852,0.0391,0.0000,0.0000,0.0000,0,21.9,0.9712,1.0000,0.0801
122000,0.7838,0.1260,0.0884,0.0422,0.0000,0.0000,0.0000,0,23.4,0.9690,1.0000,0.0795
124000,0.7865,0.1086,0.0752,0.0383,0.0000,0.0000,0.0000,0,20.6,0.9729,1.0000,0.0824
126000,0.7812,0.1116,0.0796,0.0374,0.0000,0.0000,0.0000,0,22.1,0.9702,1.0000,0.0806
128000,0.7826,0.1257,0.0891,0.0400,0.0000,0.0000,0.0000,0,22.6,0.9692,1.0000,0.0809
130000,0.7804,0.1157,0.0850,0.0354,0.0000,0.0000,0.0000,0,23.6,0.9680,1.0000,0.0802
132000,0.7858,0.1226,0.0879,0.0356,0.0000,0.0000,0.0000,0,24.2,0.9678,1.0000,0.0768
134000,0.7769,0.1179,0.0811,0.0410,0.0000,0.0000,0.0000,0,25.3,0.9644,1.0000,0.0783
136000,0.7811,0.1106,0.0842,0.0320,0.0000,0.0000,0.0000,0,23.4,0.9680,1.0000,0.0787
138000,0.7839,0.1169,0.0857,0.0344,0.0000,0.0000,0.0000,0,23.1,0.9702,1.0000,0.0796
140000,0.7814,0.1211,0.0845,0.0439,0.0000,0.0000,0.0000,0,22.0,0.9707,1.0000,0.0767
142000,0.7809,0.1184,0.0891,0.0344,0.0000,0.0000,0.0000,0,23.3,0.9680,1.0000,0.0805
144000,0.7789,0.1216,0.0842,0.0408,0.0000,0.0000,0.0000,0,23.0,0.9692,1.0000,0.0784
146000,0.7780,0.1162,0.0859,0.0344,0.0000,0.0000,0.0000,0,21.3,0.9707,1.0000,0.0809
148000,0.7756,0.1238,0.0850,0.0447,0.0000,0.0000,0.0000,0,22.6,0.9695,1.0000,0.0800
150000,0.7822,0.1228,0.0923,0.0347,0.0000,0.0000,0.0000,0,25.7,0.9656,1.0000,0.0766
152000,0.7755,0.1260,0.0945,0.0371,0.0000,0.0000,0.0000,0,23.9,0.9658,1.0000,0.0790
154000,0.7798,0.1150,0.0835,0.0361,0.0000,0.0000,0.0000,0,22.2,0.9707,1.0000,0.0769
156000,0.7784,0.1165,0.0825,0.0369,0.0000,0.0000,0.0000,0,22.9,0.9678,1.0000,0.0777
158000,0.7769,0.1206,0.0835,0.0417,0.0000,0.0000,0.0000,0,22.9,0.9685,1.0000,0.0765
160000,0.7828,0.1250,0.0896,0.0393,0.0000,0.0000,0.0000,0,22.3,0.9714,1.0000,0.0776
162000,0.7809,0.1196,0.0854,0.0403,0.0000,0.0000,0.0000,0,22.7,0.9688,1.0000,0.0791
164000,0.7794,0.1157,0.0806,0.0393,0.0000,0.0000,0.0000,0,21.4,0.9709,1.0000,0.0773
166000,0.7786,0.1182,0.0823,0.0405,0.0000,0.0000,0.0000,0,24.6,0.9678,1.0000,0.0797
168000,0.7811,0.1138,0.0811,0.0369,0.0000,0.0000,0.0000,0,20.4,0.9739,1.0000,0.0780
170000,0.7798,0.1167,0.0828,0.0359,0.0000,0.0000,0.0000,0,24.5,0.9663,1.0000,0.0781
172000,0.7771,0.1182,0.0867,0.0361,0.0000,0.0000,0.0000,0,25.1,0.9648,1.0000,0.0787
174000,0.7836,0.1204,0.0840,0.0405,0.0000,0.0000,0.0000,0,21.3,0.9709,1.0000,0.0821
176000,0.7821,0.1321,0.0916,0.0452,0.0000,0.0000,0.0000,0,24.2,0.9661,1.0000,0.0791
178000,0.7795,0.1167,0.0837,0.0376,0.0000,0.0000,0.0000,0,25.3,0.9651,1.0000,0.0810
180000,0.7827,0.1208,0.0852,0.0381,0.0000,0.0000,0.0000,0,25.0,0.9661,0.9980,0.0771
182000,0.7775,0.1086,0.0720,0.0398,0.0000,0.0000,0.0002,0,21.9,0.9729,1.0000,0.0798
184000,0.7777,0.1184,0.0820,0.0420,0.0000,0.0000,0.0000,0,23.3,0.9685,1.0000,0.0815
186000,0.7792,0.1152,0.0808,0.0393,0.0000,0.0000,0.0000,0,22.4,0.9705,1.0000,0.0773
188000,0.7831,0.1267,0.0884,0.0430,0.0000,0.0000,0.0000,0,23.5,0.9675,1.0000,0.0801
190000,0.7750,0.1152,0.0845,0.0342,0.0000,0.0000,0.0000,0,21.2,0.9709,1.0000,0.0825
192000,0.7793,0.1128,0.0798,0.0376,0.0000,0.0000,0.0000,0,21.2,0.9729,1.0000,0.0777
194000,0.7797,0.1235,0.0925,0.0359,0.0000,0.0000,0.0000,0,22.7,0.9690,1.0000,0.0777
196000,0.7798,0.1213,0.0859,0.0396,0.0000,0.0000,0.0000,0,23.9,0.9692,1.0000,0.0803
198000,0.7692,0.1221,0.0833,0.0437,0.0000,0.0000,0.0000,0,23.8,0.9678,1.0000,0.0773
200000,0.7849,0.1211,0.0876,0.0381,0.0000,0.0000,0.0000,0,24.8,0.9670,1.0000,0.0771
202000,0.7799,0.1208,0.0874,0.0369,0.0000,0.0000,0.0000,0,24.9,0.9641,1.0000,0.0791
204000,0.7776,0.1160,0.0840,0.0359,0.0000,0.0000,0.0000,0,21.2,0.9727,1.0000,0.0777
206000,0.7760,0.1143,0.0823,0.0364,0.0000,0.0000,0.0000,0,23.6,0.9673,1.0000,0.0806
208000,0.7751,0.1252,0.0913,0.0408,0.0000,0.0000,0.0000,0,21.5,0.9705,1.0000,0.0767
210000,0.7784,0.1265,0.0881,0.0437,0.0000,0.0000,0.0000,0,22.0,0.9714,1.0000,0.0788
212000,0.7831,0.1230,0.0867,0.0391,0.0000,0.0000,0.0000,0,23.9,0.9680,1.0000,0.0767
214000,0.7733,0.1228,0.0881,0.0376,0.0000,0.0000,0.0000,0,24.5,0.9670,1.0000,0.0798
216000,0.7769,0.1204,0.0854,0.0396,0.0000,0.0000,0.0000,0,22.9,0.9692,1.0000,0.0778
218000,0.7792,0.1282,0.0906,0.0435,0.0000,0.0000,0.0000,0,23.9,0.9675,1.0000,0.0786
220000,0.7786,0.1196,0.0840,0.0396,0.0000,0.0000,0.0000,0,24.7,0.9651,1.0000,0.0800
222000,0.7791,0.1282,0.0952,0.0378,0.0000,0.0000,0.0000,0,22.2,0.9709,1.0000,0.0791
224000,0.7830,0.1240,0.0894,0.0398,0.0000,0.0000,0.0000,0,24.9,0.9651,1.0000,0.0762
226000,0.7806,0.1240,0.0859,0.0425,0.0000,0.0000,0.0000,0,21.4,0.9714,1.0000,0.0780
228000,0.7838,0.1143,0.0776,0.0403,0.0000,0.0000,0.0000,0,22.6,0.9688,1.0000,0.0791
230000,0.7819,0.1062,0.0752,0.0349,0.0000,0.0000,0.0000,0,23.1,0.9690,1.0000,0.0780
232000,0.7803,0.1179,0.0845,0.0396,0.0000,0.0000,0.0002,0,24.1,0.9673,1.0000,0.0786
234000,0.7803,0.1182,0.0847,0.0378,0.0000,0.0000,0.0000,0,24.5,0.9673,1.0000,0.0781
236000,0.7760,0.1216,0.0852,0.0415,0.0000,0.0000,0.0000,0,21.0,0.9736,1.0000,0.0784
238000,0.7787,0.1133,0.0762,0.0417,0.0000,0.0000,0.0000,0,23.3,0.9690,1.0000,0.0769
240000,0.7787,0.1182,0.0852,0.0361,0.0000,0.0000,0.0000,0,22.1,0.9697,1.0000,0.0785
242000,0.7814,0.1299,0.0947,0.0415,0.0000,0.0000,0.0000,0,21.3,0.9717,1.0000,0.0805
244000,0.7769,0.1157,0.0825,0.0371,0.0000,0.0000,0.0000,0,26.6,0.9639,1.0000,0.0814
246000,0.7791,0.1155,0.0803,0.0386,0.0000,0.0000,0.0000,0,26.5,0.9626,1.0000,0.0794
248000,0.7762,0.1138,0.0823,0.0352,0.0000,0.0000,0.0000,0,24.3,0.9668,1.0000,0.0795
250000,0.7800,0.1162,0.0845,0.0366,0.0000,0.0000,0.0000,0,22.5,0.9692,1.0000,0.0785
252000,0.7812,0.1233,0.0947,0.0349,0.0000,0.0000,0.0000,0,21.3,0.9724,1.0000,0.0768
254000,0.7832,0.1243,0.0898,0.0371,0.0000,0.0000,0.0000,0,22.4,0.9700,1.0000,0.0782
256000,0.7806,0.1223,0.0857,0.0405,0.0000,0.0000,0.0000,0,21.6,0.9731,1.0000,0.0780
258000,0.7819,0.1216,0.0872,0.0378,0.0000,0.0000,0.0000,0,22.4,0.9707,1.0000,0.0768
260000,0.7817,0.1079,0.0801,0.0334,0.0000,0.0000,0.0000,0,23.0,0.9685,1.0000,0.0787
262000,0.7831,0.1248,0.0889,0.0432,0.0000,0.0000,0.0000,0,22.5,0.9702,1.0000,0.0799
264000,0.7832,0.1140,0.0840,0.0320,0.0000,0.0000,0.0000,0,23.1,0.9680,1.0000,0.0796
266000,0.7755,0.1096,0.0762,0.0391,0.0000,0.0000,0.0000,0,20.3,0.9736,1.0000,0.0781
268000,0.7744,0.1201,0.0859,0.0374,0.0000,0.0000,0.0000,0,22.5,0.9692,1.0000,0.0801
270000,0.7750,0.1199,0.0879,0.0366,0.0000,0.0000,0.0000,0,23.7,0.9668,1.0000,0.0812
272000,0.7841,0.1023,0.0710,0.0349,0.0000,0.0000,0.0000,0,24.3,0.9673,1.0000,0.0778
