epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
2650,0.7812,0.9973,0.9973,0.0264,0.0032,0.0024,0.9856,1,70.8,0.9983,1.0000,0.0946
2700,0.7778,0.9946,0.9944,0.0229,0.0005,0.0000,0.9766,1,71.1,0.9971,1.0000,0.0941
2750,0.7843,0.9954,0.9954,0.0249,0.0029,0.0000,0.9778,1,71.1,0.9971,1.0000,0.0912
2800,0.7792,0.9951,0.9951,0.0210,0.0051,0.0000,0.9761,1,71.9,0.9978,1.0000,0.0894
2850,0.7820,0.9954,0.9954,0.0220,0.0020,0.0005,0.9792,1,71.7,0.9973,1.0000,0.0852
2900,0.7799,0.9934,0.9934,0.0188,0.0012,0.0010,0.9753,1,71.2,0.9968,1.0000,0.0848
2950,0.7748,0.9946,0.9946,0.0193,0.0005,0.0005,0.9807,1,70.7,0.9978,0.9980,0.0828
3000,0.7827,0.9939,0.9932,0.0205,0.0000,0.0000,0.9778,1,71.1,0.9973,1.0000,0.0814
3050,0.7825,0.9958,0.9958,0.0176,0.0010,0.0010,0.9817,1,71.2,0.9973,1.0000,0.0783
3100,0.7825,0.9963,0.9963,0.0200,0.0042,0.0042,0.9749,1,71.1,0.9980,1.0000,0.0757
3150,0.7771,0.9963,0.9963,0.0208,0.0061,0.0061,0.9797,1,71.2,0.9980,1.0000,0.0753
3200,0.7748,0.9944,0.9944,0.0200,0.0078,0.0078,0.9780,1,70.7,0.9990,1.0000,0.0730
3250,0.7815,0.9956,0.9954,0.0171,0.0061,0.0056,0.9749,1,72.2,0.9968,1.0000,0.0705
3300,0.7755,0.9963,0.9963,0.0215,0.0037,0.0029,0.9773,1,71.3,0.9963,1.0000,0.0689
3350,0.7828,0.9976,0.9976,0.0176,0.0100,0.0093,0.9814,1,71.7,0.9976,1.0000,0.0678
3400,0.7773,0.9978,0.9978,0.0186,0.0068,0.0068,0.9780,1,72.6,0.9966,1.0000,0.0651
3450,0.7786,0.9956,0.9956,0.0186,0.0032,0.0032,0.9800,1,71.2,0.9978,1.0000,0.0640
3500,0.7776,0.9932,0.9932,0.0215,0.0034,0.0032,0.9771,1,71.5,0.9966,1.0000,0.0638
3550,0.7784,0.9968,0.9966,0.0139,0.0015,0.0015,0.9783,1,71.8,0.9958,1.0000,0.0642
3600,0.7753,0.9954,0.9951,0.0132,0.0007,0.0007,0.9739,1,70.9,0.9978,1.0000,0.0632
3650,0.7783,0.9956,0.9956,0.0198,0.0000,0.0000,0.9753,1,71.0,0.9973,1.0000,0.0630
3700,0.7791,0.9944,0.9937,0.0183,0.0005,0.0005,0.9756,1,71.1,0.9971,1.0000,0.0630
3750,0.7773,0.9937,0.9937,0.0220,0.0002,0.0002,0.9702,1,72.7,0.9929,1.0000,0.0613
3800,0.7777,0.9951,0.9951,0.0186,0.0000,0.0000,0.9792,1,70.1,0.9993,1.0000,0.0595
3850,0.7802,0.9963,0.9963,0.0195,0.0005,0.0005,0.9790,1,70.7,0.9978,1.0000,0.0597
3900,0.7769,0.9958,0.9958,0.0186,0.0020,0.0020,0.9761,1,71.0,0.9971,1.0000,0.0588
3950,0.7775,0.9956,0.9951,0.0173,0.0007,0.0007,0.9753,1,70.6,0.9976,1.0000,0.0571
4000,0.7786,0.9976,0.9976,0.0190,0.0000,0.0000,0.9797,1,70.2,0.9990,1.0000,0.0580
4050,0.7766,0.9968,0.9966,0.0227,0.0027,0.0017,0.9829,1,70.7,0.9993,1.0000,0.0582
4100,0.7842,0.9949,0.9944,0.0193,0.0010,0.0010,0.9775,1,70.4,0.9983,1.0000,0.0585
4150,0.7729,0.9978,0.9978,0.0183,0.0015,0.0015,0.9783,1,70.7,0.9976,1.0000,0.0603
4200,0.7795,0.9949,0.9949,0.0225,0.0042,0.0042,0.9795,1,71.4,0.9968,1.0000,0.0569
4250,0.7811,0.9968,0.9966,0.0242,0.0066,0.0063,0.9766,1,71.4,0.9980,1.0000,0.0573
4300,0.7749,0.9946,0.9946,0.0198,0.0085,0.0085,0.9771,1,71.1,0.9980,1.0000,0.0555
4350,0.7744,0.9949,0.9946,0.0195,0.0049,0.0029,0.9709,1,70.7,0.9968,1.0000,0.0559
