epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7847,0.000000,0.0037,0.005615,5.249,22
20,0.7715,0.000000,0.0034,0.047607,6.769,26
40,0.7725,0.008057,0.0033,0.266602,11.368,32
60,0.7749,0.107422,0.0021,0.681641,20.408,32
80,0.7788,0.470947,0.0014,0.510254,27.319,32
100,0.7803,0.752930,0.0009,0.244629,30.029,32
120,0.7725,0.839111,0.0011,0.158691,30.709,32
140,0.7769,0.839844,0.0011,0.159424,30.752,32
160,0.7783,0.839600,0.0012,0.159424,30.686,32
180,0.7788,0.807617,0.0008,0.190430,30.462,32
200,0.7896,0.803223,0.0010,0.194824,30.412,32
220,0.7817,0.797119,0.0009,0.201660,30.329,32
240,0.7808,0.795410,0.0008,0.203613,30.336,32
260,0.7734,0.815918,0.0007,0.182861,30.462,32
280,0.7676,0.829834,0.0004,0.167969,30.615,32
300,0.7896,0.817139,0.0002,0.181885,30.529,32
320,0.7783,0.819092,0.0002,0.179932,30.573,32
340,0.7817,0.810303,0.0000,0.189453,30.411,32
360,0.7847,0.820068,0.0000,0.178467,30.427,32
380,0.7812,0.816895,0.0000,0.181641,30.429,32
400,0.7827,0.811768,0.0001,0.186768,30.398,32
420,0.7852,0.791260,0.0004,0.207764,30.227,32
440,0.7847,0.768799,0.0003,0.230225,30.173,32
460,0.7759,0.773193,0.0004,0.224121,30.111,32
480,0.7769,0.781250,0.0001,0.216553,30.173,32
500,0.7710,0.778564,0.0001,0.220947,30.183,32
520,0.7798,0.779297,0.0001,0.220459,30.223,32
540,0.7778,0.752197,0.0000,0.247559,30.055,32
560,0.7832,0.770264,0.0000,0.227539,30.089,32
580,0.7725,0.741455,0.0000,0.257568,29.938,32
600,0.7812,0.728027,0.0002,0.271240,29.844,32
620,0.7705,0.760742,0.0001,0.238037,30.083,32
640,0.7808,0.740479,0.0001,0.258789,29.975,32
660,0.7798,0.713623,0.0001,0.285889,29.855,32
680,0.7847,0.672119,0.0001,0.326660,29.645,32
700,0.7798,0.678955,0.0002,0.320068,29.708,32
720,0.7769,0.657959,0.0001,0.341309,29.625,32
740,0.7734,0.676025,0.0001,0.323486,29.824,32
760,0.7788,0.646973,0.0001,0.352295,29.609,32
780,0.7891,0.657715,0.0000,0.342041,29.694,32
800,0.7822,0.661377,0.0000,0.337646,29.631,32
820,0.7905,0.655762,0.0000,0.342529,29.401,32
840,0.7817,0.626221,0.0000,0.373535,29.286,32
860,0.7739,0.602783,0.0000,0.396240,29.268,32
