epoch,selected_frac,func_repl_frac,zero_frac
0,0.7806,0.000000,0.0039
10,0.7789,0.000000,0.0040
20,0.7819,0.000000,0.0042
30,0.7823,0.000305,0.0042
40,0.7799,0.002747,0.0042
50,0.7748,0.014648,0.0042
60,0.7760,0.043335,0.0042
70,0.7814,0.110718,0.0042
80,0.7812,0.260193,0.0039
90,0.7838,0.445618,0.0036
100,0.7834,0.612183,0.0034
110,0.7753,0.707886,0.0038
120,0.7765,0.764648,0.0038
130,0.7799,0.804932,0.0041
140,0.7789,0.821960,0.0042
150,0.7815,0.839233,0.0040
160,0.7809,0.842529,0.0037
170,0.7805,0.842102,0.0040
180,0.7767,0.843872,0.0036
190,0.7792,0.851379,0.0040
200,0.7754,0.843018,0.0040
210,0.7788,0.847290,0.0041
220,0.7789,0.848877,0.0039
230,0.7761,0.836609,0.0040
240,0.7788,0.838257,0.0041
250,0.7806,0.846497,0.0042
260,0.7797,0.846497,0.0042
270,0.7760,0.847778,0.0040
280,0.7842,0.855591,0.0041
290,0.7825,0.853821,0.0041
300,0.7809,0.856323,0.0040
310,0.7792,0.856567,0.0041
320,0.7864,0.856934,0.0043
330,0.7808,0.869263,0.0043
340,0.7747,0.859009,0.0042
350,0.7773,0.858398,0.0043
360,0.7784,0.852905,0.0045
370,0.7770,0.850403,0.0046
380,0.7830,0.850098,0.0048
390,0.7793,0.840393,0.0048
400,0.7806,0.844177,0.0046
410,0.7777,0.843506,0.0045
420,0.7852,0.847412,0.0045
430,0.7758,0.833313,0.0041
440,0.7822,0.833069,0.0041
450,0.7778,0.827820,0.0044
460,0.7733,0.822754,0.0042
470,0.7832,0.812378,0.0043
480,0.7781,0.804138,0.0041
490,0.7770,0.792969,0.0039
500,0.7795,0.793884,0.0037
510,0.7816,0.811890,0.0036
520,0.7837,0.804932,0.0034
530,0.7784,0.809753,0.0035
540,0.7838,0.804871,0.0034
550,0.7766,0.813293,0.0033
560,0.7847,0.812500,0.0032
570,0.7795,0.809937,0.0032
580,0.7820,0.810791,0.0031
590,0.7828,0.805298,0.0029
600,0.7827,0.810181,0.0028
610,0.7780,0.813232,0.0029
620,0.7806,0.807678,0.0028
630,0.7789,0.802673,0.0027
640,0.7797,0.795166,0.0027
650,0.7798,0.798645,0.0028
660,0.7821,0.805969,0.0027
670,0.7819,0.807861,0.0027
680,0.7756,0.793518,0.0027
690,0.7775,0.776611,0.0026
700,0.7827,0.777588,0.0025
710,0.7832,0.775208,0.0025
720,0.7783,0.779480,0.0026
730,0.7770,0.791382,0.0025
740,0.7775,0.787476,0.0026
750,0.7780,0.786316,0.0024
760,0.7832,0.788330,0.0024
770,0.7758,0.782837,0.0024
780,0.7797,0.778076,0.0024
790,0.7806,0.787903,0.0023
800,0.7767,0.788940,0.0023
810,0.7766,0.783813,0.0026
820,0.7814,0.769897,0.0025
830,0.7799,0.764648,0.0026
840,0.7784,0.770447,0.0025
850,0.7832,0.758545,0.0025
860,0.7799,0.741577,0.0023
870,0.7802,0.728882,0.0023
