epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7861,0.000000,0.0039,0.006714,5.286,22
50,0.7751,0.070618,0.0033,0.507324,16.996,32
100,0.7770,0.721802,0.0028,0.275330,29.644,32
150,0.7777,0.801880,0.0029,0.196960,30.229,32
200,0.7777,0.809692,0.0030,0.189575,30.281,32
250,0.7810,0.835205,0.0036,0.163635,30.585,32
300,0.7803,0.854248,0.0029,0.145020,30.715,32
350,0.7791,0.861023,0.0033,0.137634,30.787,32
400,0.7811,0.863953,0.0040,0.135681,30.858,32
450,0.7723,0.851135,0.0037,0.148315,30.748,32
500,0.7815,0.847534,0.0034,0.152283,30.633,32
550,0.7781,0.842712,0.0032,0.157288,30.622,32
600,0.7754,0.840027,0.0030,0.159973,30.560,32
650,0.7803,0.835693,0.0030,0.164307,30.596,32
