epoch,selected_frac,func_repl_frac,zero_frac
0,0.7861,0.000183,0.0039
10,0.7775,0.003296,0.0038
20,0.7783,0.024231,0.0034
30,0.7786,0.111511,0.0030
40,0.7805,0.299438,0.0027
50,0.7751,0.524414,0.0026
60,0.7827,0.653198,0.0024
70,0.7767,0.716492,0.0024
80,0.7822,0.779114,0.0026
90,0.7787,0.822449,0.0025
100,0.7770,0.843445,0.0025
110,0.7758,0.854675,0.0024
120,0.7765,0.859985,0.0027
130,0.7759,0.860901,0.0030
140,0.7782,0.860229,0.0031
150,0.7777,0.864685,0.0030
160,0.7775,0.862976,0.0026
170,0.7743,0.881165,0.0026
180,0.7792,0.879639,0.0025
190,0.7773,0.890991,0.0025
200,0.7777,0.897644,0.0026
210,0.7782,0.899902,0.0027
220,0.7833,0.905640,0.0027
230,0.7764,0.902344,0.0028
240,0.7789,0.909485,0.0030
250,0.7810,0.908936,0.0029
260,0.7777,0.907410,0.0028
270,0.7808,0.911621,0.0027
280,0.7836,0.911133,0.0026
290,0.7832,0.906372,0.0025
300,0.7803,0.909424,0.0026
310,0.7817,0.912109,0.0027
320,0.7795,0.905334,0.0030
330,0.7769,0.908264,0.0031
340,0.7777,0.915833,0.0028
350,0.7791,0.921631,0.0025
360,0.7822,0.916443,0.0026
370,0.7747,0.916077,0.0025
380,0.7778,0.920959,0.0027
390,0.7812,0.921753,0.0026
400,0.7811,0.922302,0.0023
410,0.7806,0.924927,0.0024
420,0.7770,0.929688,0.0024
430,0.7852,0.937744,0.0024
440,0.7738,0.941162,0.0025
450,0.7723,0.943665,0.0023
460,0.7777,0.941040,0.0022
470,0.7842,0.941772,0.0021
480,0.7821,0.935425,0.0021
490,0.7772,0.929565,0.0020
500,0.7815,0.936584,0.0018
510,0.7788,0.934021,0.0017
520,0.7792,0.932007,0.0020
530,0.7798,0.930786,0.0020
540,0.7819,0.925720,0.0019
550,0.7781,0.932495,0.0018
560,0.7780,0.929382,0.0018
570,0.7789,0.929626,0.0019
580,0.7761,0.933411,0.0019
590,0.7767,0.934692,0.0020
600,0.7754,0.931030,0.0019
610,0.7798,0.927246,0.0020
620,0.7799,0.925171,0.0021
630,0.7795,0.925659,0.0020
640,0.7791,0.924927,0.0020
650,0.7803,0.921387,0.0022
660,0.7778,0.926514,0.0025
670,0.7792,0.934265,0.0024
680,0.7832,0.941467,0.0023
690,0.7804,0.944031,0.0023
700,0.7731,0.943665,0.0024
710,0.7798,0.938843,0.0024
720,0.7793,0.952209,0.0025
730,0.7772,0.954590,0.0026
740,0.7766,0.954651,0.0023
750,0.7841,0.953308,0.0023
760,0.7810,0.951355,0.0024
770,0.7814,0.948303,0.0025
780,0.7786,0.948792,0.0024
790,0.7800,0.949829,0.0026
800,0.7762,0.949341,0.0024
810,0.7806,0.954773,0.0023
820,0.7767,0.957397,0.0020
830,0.7815,0.952026,0.0020
