epoch,selected_frac,func_repl_frac,zero_frac
0,0.7861,0.000854,0.0039
10,0.7775,0.020813,0.0038
20,0.7783,0.105896,0.0036
30,0.7786,0.303101,0.0034
40,0.7805,0.520020,0.0034
50,0.7751,0.640686,0.0033
60,0.7827,0.704346,0.0031
70,0.7767,0.736511,0.0032
80,0.7822,0.769653,0.0031
90,0.7787,0.783020,0.0027
100,0.7770,0.801208,0.0028
110,0.7758,0.817749,0.0027
120,0.7765,0.835083,0.0025
130,0.7759,0.839294,0.0024
140,0.7782,0.842957,0.0021
150,0.7777,0.848145,0.0020
160,0.7775,0.859985,0.0021
170,0.7743,0.869202,0.0022
180,0.7792,0.875000,0.0022
190,0.7773,0.888855,0.0023
200,0.7777,0.895447,0.0024
210,0.7782,0.896240,0.0021
220,0.7833,0.909546,0.0023
230,0.7764,0.905334,0.0026
240,0.7789,0.911377,0.0027
250,0.7810,0.907227,0.0025
260,0.7777,0.909058,0.0025
270,0.7808,0.911255,0.0028
280,0.7836,0.912109,0.0027
290,0.7832,0.918091,0.0028
300,0.7803,0.925964,0.0027
310,0.7817,0.929810,0.0028
320,0.7795,0.931091,0.0027
330,0.7769,0.927795,0.0025
340,0.7777,0.926025,0.0025
350,0.7791,0.927734,0.0023
360,0.7822,0.929260,0.0022
370,0.7747,0.934265,0.0022
380,0.7778,0.934937,0.0023
390,0.7812,0.938599,0.0024
400,0.7811,0.938477,0.0027
410,0.7806,0.936401,0.0030
420,0.7770,0.932678,0.0031
430,0.7852,0.935303,0.0033
440,0.7738,0.934387,0.0031
450,0.7723,0.933411,0.0031
460,0.7777,0.939392,0.0029
470,0.7842,0.936707,0.0030
480,0.7821,0.939331,0.0029
490,0.7772,0.932678,0.0032
500,0.7815,0.936829,0.0030
510,0.7788,0.931763,0.0028
520,0.7792,0.937805,0.0028
530,0.7798,0.935791,0.0026
540,0.7819,0.937744,0.0025
550,0.7781,0.933838,0.0022
560,0.7780,0.929810,0.0020
570,0.7789,0.930603,0.0018
580,0.7761,0.924011,0.0017
590,0.7767,0.925903,0.0017
600,0.7754,0.926025,0.0017
610,0.7798,0.923950,0.0016
620,0.7799,0.920898,0.0016
630,0.7795,0.919861,0.0017
640,0.7791,0.925049,0.0017
650,0.7803,0.926819,0.0016
660,0.7778,0.924316,0.0015
670,0.7792,0.920105,0.0015
680,0.7832,0.924255,0.0013
690,0.7804,0.926392,0.0014
700,0.7731,0.920532,0.0014
710,0.7798,0.922913,0.0014
720,0.7793,0.916809,0.0015
730,0.7772,0.919800,0.0014
740,0.7766,0.917847,0.0014
750,0.7841,0.916138,0.0015
760,0.7810,0.924255,0.0014
770,0.7814,0.932129,0.0012
780,0.7786,0.932678,0.0012
790,0.7800,0.931885,0.0012
800,0.7762,0.933838,0.0012
810,0.7806,0.922607,0.0013
820,0.7767,0.932922,0.0013
