epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7856,0.000000,0.0039,0.006714,5.282,25
20,0.7806,0.000061,0.0039,0.049988,6.771,32
40,0.7777,0.013062,0.0034,0.313538,12.163,32
60,0.7761,0.172180,0.0033,0.683350,22.073,32
80,0.7781,0.514465,0.0030,0.472778,27.674,32
100,0.7787,0.685303,0.0026,0.310913,29.210,32
120,0.7814,0.734619,0.0024,0.263550,29.582,32
140,0.7787,0.767822,0.0019,0.230164,29.887,32
160,0.7775,0.784912,0.0020,0.213013,30.001,32
180,0.7781,0.791016,0.0019,0.207336,30.054,32
200,0.7804,0.787659,0.0019,0.210205,30.045,32
220,0.7776,0.800964,0.0020,0.197571,30.179,32
240,0.7810,0.804993,0.0019,0.194092,30.236,32
260,0.7781,0.821228,0.0020,0.177368,30.386,32
280,0.7809,0.808105,0.0021,0.190796,30.316,32
300,0.7814,0.817932,0.0023,0.181274,30.401,32
320,0.7756,0.807495,0.0024,0.191467,30.360,32
340,0.7789,0.808899,0.0020,0.190308,30.328,32
360,0.7784,0.798279,0.0017,0.200439,30.175,32
380,0.7812,0.796875,0.0017,0.202026,30.202,32
400,0.7789,0.784729,0.0016,0.213928,30.090,32
420,0.7842,0.786072,0.0015,0.212524,30.143,32
440,0.7821,0.780457,0.0015,0.218201,30.073,32
460,0.7798,0.784180,0.0015,0.213928,30.081,32
480,0.7787,0.772949,0.0015,0.226074,30.055,32
500,0.7781,0.776367,0.0016,0.222473,30.083,32
520,0.7831,0.769470,0.0016,0.229309,30.071,32
540,0.7783,0.785095,0.0017,0.213440,30.132,32
560,0.7820,0.775818,0.0018,0.222961,30.096,32
580,0.7809,0.773621,0.0019,0.225342,30.137,32
600,0.7784,0.776184,0.0018,0.222778,30.155,32
620,0.7855,0.774780,0.0017,0.223938,30.109,32
640,0.7745,0.773438,0.0014,0.225342,30.089,32
660,0.7817,0.764893,0.0015,0.233521,30.022,32
680,0.7761,0.750122,0.0015,0.248779,29.929,32
700,0.7776,0.738525,0.0015,0.260803,29.893,32
720,0.7766,0.720093,0.0014,0.279114,29.825,32
740,0.7784,0.706360,0.0015,0.292664,29.720,32
760,0.7766,0.708130,0.0017,0.290833,29.734,32
780,0.7784,0.700623,0.0018,0.298401,29.693,32
800,0.7819,0.705872,0.0016,0.293335,29.754,32
820,0.7788,0.711853,0.0017,0.286926,29.743,32
840,0.7773,0.704712,0.0016,0.294250,29.733,32
860,0.7791,0.699219,0.0016,0.299500,29.666,32
