epoch,selected_frac,func_repl_frac,zero_frac
0,0.7861,0.000000,0.0039
10,0.7775,0.000000,0.0038
20,0.7783,0.000000,0.0037
30,0.7786,0.000000,0.0036
40,0.7805,0.001892,0.0034
50,0.7751,0.010437,0.0032
60,0.7827,0.038391,0.0030
70,0.7767,0.116028,0.0028
80,0.7822,0.256653,0.0023
90,0.7787,0.423889,0.0023
100,0.7770,0.555359,0.0018
110,0.7758,0.654297,0.0018
120,0.7765,0.707642,0.0018
130,0.7759,0.736328,0.0021
140,0.7782,0.756653,0.0021
150,0.7777,0.772827,0.0023
160,0.7775,0.769531,0.0023
170,0.7743,0.776123,0.0022
180,0.7792,0.772949,0.0022
190,0.7773,0.772156,0.0023
200,0.7777,0.765503,0.0024
210,0.7782,0.787109,0.0022
220,0.7833,0.788635,0.0022
230,0.7764,0.785339,0.0024
240,0.7789,0.780396,0.0026
250,0.7810,0.780762,0.0024
260,0.7777,0.786499,0.0027
270,0.7808,0.801331,0.0027
280,0.7836,0.798645,0.0026
290,0.7832,0.807373,0.0027
300,0.7803,0.806946,0.0025
310,0.7817,0.801758,0.0023
320,0.7795,0.796570,0.0022
330,0.7769,0.806152,0.0021
340,0.7777,0.800720,0.0019
350,0.7791,0.797729,0.0020
360,0.7822,0.800964,0.0020
370,0.7747,0.799438,0.0020
380,0.7778,0.799377,0.0018
390,0.7812,0.809998,0.0018
400,0.7811,0.807617,0.0016
410,0.7806,0.812073,0.0017
420,0.7770,0.797913,0.0017
430,0.7852,0.794189,0.0017
440,0.7738,0.794861,0.0017
450,0.7723,0.794556,0.0016
460,0.7777,0.802490,0.0016
470,0.7842,0.806763,0.0015
480,0.7821,0.798706,0.0016
490,0.7772,0.797974,0.0018
500,0.7815,0.803040,0.0018
510,0.7788,0.804688,0.0018
520,0.7792,0.812317,0.0017
530,0.7798,0.815857,0.0017
540,0.7819,0.818787,0.0017
550,0.7781,0.827332,0.0017
560,0.7780,0.831604,0.0016
570,0.7789,0.829773,0.0015
580,0.7761,0.822205,0.0015
590,0.7767,0.830078,0.0015
600,0.7754,0.831299,0.0015
610,0.7798,0.828613,0.0015
620,0.7799,0.832947,0.0015
630,0.7795,0.822266,0.0015
640,0.7791,0.813477,0.0016
650,0.7803,0.806458,0.0016
660,0.7778,0.809143,0.0017
670,0.7792,0.809998,0.0018
680,0.7832,0.816040,0.0020
690,0.7804,0.814392,0.0021
700,0.7731,0.806824,0.0020
710,0.7798,0.801575,0.0023
720,0.7793,0.806396,0.0023
730,0.7772,0.812378,0.0022
740,0.7766,0.808777,0.0022
750,0.7841,0.799805,0.0022
760,0.7810,0.799683,0.0023
770,0.7814,0.794006,0.0024
780,0.7786,0.789001,0.0023
790,0.7800,0.778625,0.0024
800,0.7762,0.777527,0.0026
810,0.7806,0.779663,0.0027
820,0.7767,0.772583,0.0029
830,0.7815,0.765137,0.0029
840,0.7819,0.773193,0.0027
850,0.7810,0.765015,0.0027
860,0.7781,0.762451,0.0028
870,0.7789,0.749146,0.0029
