epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7700,0.000000,0.0039,0.007080,5.322,24
20,0.7788,0.000244,0.0040,0.054199,6.970,30
40,0.7812,0.019531,0.0036,0.313721,12.340,32
60,0.7754,0.193115,0.0034,0.682129,22.673,32
80,0.7881,0.532959,0.0024,0.461670,28.030,32
100,0.7827,0.685059,0.0021,0.311523,29.107,32
120,0.7812,0.725830,0.0020,0.270020,29.469,32
140,0.7725,0.756348,0.0029,0.240967,29.696,32
160,0.7788,0.760010,0.0033,0.238037,29.724,32
180,0.7700,0.773926,0.0037,0.223633,29.827,32
200,0.7749,0.792725,0.0036,0.205322,30.034,32
220,0.7749,0.783447,0.0040,0.213135,29.794,32
240,0.7700,0.768311,0.0040,0.229736,29.672,32
260,0.7773,0.749268,0.0044,0.248779,29.495,32
280,0.7812,0.723145,0.0049,0.274414,29.322,32
300,0.7729,0.708008,0.0042,0.290039,29.270,32
320,0.7769,0.714600,0.0041,0.284180,29.371,32
340,0.7759,0.717529,0.0041,0.279785,29.405,32
360,0.7822,0.725830,0.0039,0.272217,29.459,32
380,0.7817,0.730713,0.0042,0.266357,29.480,32
400,0.7715,0.747314,0.0048,0.249756,29.560,32
420,0.7773,0.764648,0.0049,0.233643,29.714,32
440,0.7847,0.765625,0.0055,0.231689,29.741,32
460,0.7866,0.763672,0.0062,0.233398,29.798,32
480,0.7856,0.797363,0.0062,0.198975,30.123,32
500,0.7886,0.773926,0.0058,0.222412,29.936,32
520,0.7764,0.770508,0.0061,0.227051,29.932,32
540,0.7861,0.749756,0.0055,0.249023,29.832,32
560,0.7739,0.742188,0.0054,0.256104,29.749,32
580,0.7744,0.722656,0.0054,0.274902,29.596,32
600,0.7705,0.743652,0.0050,0.255859,29.821,32
620,0.7861,0.786377,0.0046,0.212646,30.141,32
640,0.7739,0.771729,0.0051,0.225830,29.979,32
660,0.7871,0.742188,0.0048,0.257080,29.896,32
680,0.7856,0.746826,0.0046,0.252930,29.887,32
700,0.7920,0.699951,0.0040,0.298828,29.592,32
720,0.7808,0.686523,0.0037,0.311523,29.489,32
740,0.7788,0.674316,0.0035,0.322510,29.361,32
760,0.7817,0.668701,0.0030,0.329346,29.296,32
780,0.7793,0.668457,0.0029,0.328613,29.366,32
800,0.7798,0.712402,0.0025,0.285645,29.595,32
820,0.7754,0.684570,0.0024,0.313965,29.552,32
840,0.7769,0.682861,0.0029,0.315918,29.565,32
860,0.7778,0.666504,0.0030,0.331787,29.461,32
