epoch,selected_frac,func_repl_frac,zero_frac
0,0.7767,0.000122,0.0039
100,0.7791,0.885742,0.0001
200,0.7793,0.878662,0.0001
300,0.7764,0.954773,0.0002
400,0.7792,0.957153,0.0003
500,0.7784,0.958801,0.0004
600,0.7804,0.971924,0.0005
700,0.7781,0.966919,0.0003
800,0.7810,0.974915,0.0002
900,0.7809,0.979919,0.0002
1000,0.7788,0.978333,0.0003
1100,0.7764,0.980713,0.0006
1200,0.7764,0.978149,0.0007
1300,0.7786,0.981445,0.0006
1400,0.7762,0.984680,0.0006
1500,0.7794,0.987854,0.0002
1600,0.7806,0.987793,0.0003
1700,0.7794,0.987671,0.0006
1800,0.7836,0.989441,0.0008
1900,0.7784,0.987183,0.0008
2000,0.7811,0.989563,0.0009
2100,0.7778,0.988892,0.0011
