epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7788,0.000000,0.0040,0.006836,5.299,22
20,0.7695,0.001221,0.0041,0.056396,7.114,32
40,0.7881,0.021729,0.0035,0.350830,13.238,32
60,0.7812,0.237061,0.0035,0.655029,23.336,32
80,0.7832,0.574463,0.0033,0.411621,28.300,32
100,0.7861,0.748535,0.0032,0.248291,29.798,32
120,0.7778,0.800781,0.0033,0.197021,30.268,32
140,0.7856,0.830322,0.0036,0.168945,30.598,32
160,0.7769,0.819824,0.0038,0.177490,30.511,32
180,0.7861,0.822510,0.0036,0.175293,30.396,32
200,0.7817,0.818359,0.0038,0.179932,30.377,32
220,0.7773,0.818848,0.0039,0.178467,30.327,32
240,0.7773,0.818604,0.0034,0.179688,30.367,32
260,0.7744,0.802246,0.0030,0.196289,30.285,32
280,0.7759,0.788086,0.0024,0.209961,30.133,32
300,0.7715,0.791748,0.0024,0.207031,30.129,32
320,0.7754,0.760986,0.0030,0.238037,29.810,32
340,0.7788,0.789307,0.0031,0.209473,30.094,32
360,0.7866,0.777100,0.0032,0.221191,30.073,32
380,0.7729,0.782959,0.0034,0.215576,30.036,32
400,0.7744,0.758789,0.0037,0.238770,29.781,32
420,0.7847,0.782471,0.0037,0.216064,29.987,32
440,0.7812,0.767090,0.0039,0.231201,29.937,32
460,0.7769,0.770508,0.0042,0.228516,29.946,32
480,0.7798,0.766357,0.0043,0.232422,29.922,32
500,0.7788,0.775146,0.0045,0.223877,29.935,32
520,0.7920,0.770020,0.0041,0.228027,29.825,32
540,0.7764,0.770752,0.0036,0.227783,29.937,32
560,0.7754,0.758545,0.0042,0.240723,29.933,32
580,0.7832,0.715576,0.0033,0.282715,29.700,32
600,0.7881,0.703857,0.0042,0.294189,29.566,32
620,0.7847,0.701416,0.0039,0.297852,29.631,32
640,0.7725,0.718506,0.0044,0.279785,29.691,32
660,0.7754,0.714600,0.0039,0.284668,29.699,32
680,0.7773,0.757080,0.0052,0.241699,29.861,32
700,0.7793,0.757324,0.0050,0.242432,29.985,32
720,0.7778,0.804688,0.0041,0.194824,30.150,32
740,0.7788,0.822266,0.0051,0.177246,30.276,32
760,0.7861,0.801270,0.0048,0.198242,30.263,32
780,0.7788,0.780518,0.0045,0.217773,30.154,32
800,0.7715,0.753174,0.0046,0.246338,29.931,32
820,0.7798,0.770996,0.0037,0.228271,30.038,32
840,0.7900,0.767578,0.0033,0.230713,29.955,32
860,0.7715,0.758545,0.0033,0.240723,29.865,32
