epoch,selected_frac,func_repl_frac,zero_frac
0,0.7767,0.000000,0.0039
10,0.7834,0.000000,0.0039
20,0.7784,0.000000,0.0038
30,0.7754,0.000183,0.0036
40,0.7781,0.004395,0.0034
50,0.7780,0.017944,0.0030
60,0.7794,0.055176,0.0026
70,0.7795,0.148804,0.0022
80,0.7808,0.308350,0.0021
90,0.7826,0.485474,0.0020
100,0.7791,0.606995,0.0019
110,0.7821,0.682983,0.0017
120,0.7762,0.737915,0.0014
130,0.7828,0.759460,0.0014
140,0.7794,0.782410,0.0014
150,0.7783,0.788635,0.0015
160,0.7776,0.801392,0.0014
170,0.7771,0.815186,0.0016
180,0.7776,0.818665,0.0015
190,0.7787,0.813965,0.0015
200,0.7793,0.818726,0.0014
210,0.7770,0.811584,0.0016
220,0.7792,0.823547,0.0017
230,0.7772,0.829895,0.0016
240,0.7816,0.826538,0.0015
250,0.7781,0.828125,0.0016
260,0.7825,0.812378,0.0014
270,0.7804,0.815308,0.0013
280,0.7787,0.818359,0.0012
290,0.7804,0.811279,0.0011
300,0.7764,0.798645,0.0011
310,0.7819,0.808960,0.0010
320,0.7794,0.813049,0.0011
330,0.7733,0.807861,0.0010
340,0.7791,0.812195,0.0010
350,0.7760,0.814026,0.0009
360,0.7805,0.817871,0.0008
370,0.7789,0.816223,0.0008
380,0.7804,0.813599,0.0007
390,0.7795,0.821289,0.0006
400,0.7792,0.817688,0.0006
410,0.7828,0.803772,0.0007
420,0.7771,0.804443,0.0007
430,0.7770,0.812134,0.0007
440,0.7794,0.810425,0.0008
450,0.7797,0.806580,0.0007
460,0.7804,0.814209,0.0007
470,0.7776,0.803894,0.0008
480,0.7747,0.799927,0.0008
490,0.7805,0.798096,0.0008
500,0.7784,0.802368,0.0010
510,0.7799,0.797913,0.0010
520,0.7753,0.805603,0.0009
530,0.7836,0.806519,0.0008
540,0.7794,0.804626,0.0007
550,0.7812,0.803467,0.0007
560,0.7845,0.797791,0.0008
570,0.7780,0.802429,0.0009
580,0.7784,0.801208,0.0010
590,0.7772,0.801514,0.0011
600,0.7804,0.793396,0.0011
610,0.7804,0.792114,0.0010
620,0.7815,0.779846,0.0009
630,0.7733,0.791626,0.0009
640,0.7803,0.787048,0.0010
650,0.7822,0.794373,0.0011
660,0.7816,0.803833,0.0012
670,0.7823,0.811340,0.0010
680,0.7834,0.812195,0.0008
690,0.7823,0.802429,0.0006
700,0.7781,0.801819,0.0007
710,0.7782,0.806458,0.0007
720,0.7772,0.809631,0.0007
730,0.7811,0.799377,0.0006
740,0.7786,0.785339,0.0006
750,0.7795,0.789062,0.0007
760,0.7764,0.785767,0.0007
770,0.7811,0.776550,0.0008
780,0.7822,0.758728,0.0009
790,0.7793,0.746338,0.0008
800,0.7810,0.745361,0.0009
810,0.7787,0.749451,0.0010
820,0.7848,0.755981,0.0010
830,0.7753,0.755310,0.0011
840,0.7817,0.749634,0.0010
850,0.7843,0.739624,0.0010
860,0.7825,0.733459,0.0009
