epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7800,0.000000,0.0040,0.006042,5.259,28
20,0.7837,0.001099,0.0038,0.059753,7.001,32
40,0.7765,0.030579,0.0032,0.362732,13.437,32
60,0.7784,0.276917,0.0023,0.622559,24.049,32
80,0.7800,0.623901,0.0019,0.368774,28.827,32
100,0.7742,0.759521,0.0021,0.237976,29.946,32
120,0.7770,0.799622,0.0019,0.198914,30.247,32
140,0.7786,0.824402,0.0020,0.174377,30.422,32
160,0.7823,0.825439,0.0020,0.173096,30.404,32
180,0.7806,0.833740,0.0022,0.164490,30.546,32
200,0.7819,0.820557,0.0025,0.177490,30.408,32
220,0.7770,0.830200,0.0028,0.168457,30.486,32
240,0.7788,0.822876,0.0026,0.176025,30.418,32
260,0.7758,0.812378,0.0026,0.185913,30.350,32
280,0.7805,0.806885,0.0026,0.191895,30.294,32
300,0.7814,0.812500,0.0024,0.185913,30.358,32
320,0.7770,0.812073,0.0022,0.186584,30.348,32
340,0.7808,0.803467,0.0025,0.195312,30.325,32
360,0.7772,0.786255,0.0029,0.212769,30.234,32
380,0.7780,0.778931,0.0026,0.219482,30.102,32
400,0.7820,0.769958,0.0026,0.228882,30.026,32
420,0.7850,0.776062,0.0025,0.222168,30.021,32
440,0.7794,0.774231,0.0025,0.224731,30.046,32
460,0.7820,0.771912,0.0023,0.227051,30.012,32
480,0.7814,0.775513,0.0025,0.223450,30.062,32
500,0.7780,0.757324,0.0025,0.241638,29.917,32
520,0.7798,0.759216,0.0027,0.239868,29.957,32
540,0.7782,0.759094,0.0026,0.239807,29.937,32
560,0.7834,0.751953,0.0020,0.246704,29.863,32
580,0.7794,0.737610,0.0020,0.261292,29.852,32
600,0.7810,0.731506,0.0024,0.267517,29.825,32
620,0.7799,0.721497,0.0023,0.277527,29.756,32
640,0.7832,0.721863,0.0023,0.277161,29.772,32
660,0.7715,0.705566,0.0023,0.293152,29.662,32
680,0.7806,0.713257,0.0025,0.285889,29.707,32
700,0.7758,0.715393,0.0024,0.283264,29.787,32
720,0.7815,0.703186,0.0024,0.296082,29.724,32
740,0.7816,0.708069,0.0021,0.290955,29.788,32
760,0.7797,0.713318,0.0019,0.285767,29.857,32
780,0.7828,0.700195,0.0019,0.298767,29.798,32
800,0.7771,0.675476,0.0020,0.323181,29.691,32
820,0.7759,0.680176,0.0020,0.319214,29.675,32
840,0.7792,0.676208,0.0020,0.322693,29.602,32
860,0.7794,0.662170,0.0022,0.336975,29.533,32
