epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7767,0.000000,0.0039,0.006592,5.236,24
20,0.7784,0.000244,0.0037,0.060303,7.036,32
40,0.7781,0.015381,0.0034,0.341614,12.673,32
60,0.7794,0.190552,0.0025,0.677063,22.626,32
80,0.7808,0.547974,0.0019,0.443298,28.202,32
100,0.7791,0.707825,0.0021,0.289368,29.524,32
120,0.7762,0.777893,0.0021,0.219910,30.018,32
140,0.7794,0.793945,0.0021,0.203979,30.221,32
160,0.7776,0.804382,0.0018,0.193420,30.277,32
180,0.7776,0.813599,0.0020,0.184692,30.397,32
200,0.7793,0.804993,0.0019,0.193542,30.374,32
220,0.7792,0.811401,0.0020,0.186829,30.377,32
240,0.7816,0.809509,0.0020,0.189514,30.407,32
260,0.7825,0.822632,0.0022,0.176270,30.501,32
280,0.7787,0.832397,0.0024,0.166504,30.609,32
300,0.7764,0.822388,0.0024,0.176147,30.515,32
320,0.7794,0.829834,0.0025,0.168945,30.553,32
340,0.7791,0.826477,0.0023,0.172546,30.555,32
360,0.7805,0.836914,0.0025,0.162170,30.569,32
380,0.7804,0.841736,0.0027,0.157104,30.614,32
400,0.7792,0.845398,0.0028,0.153748,30.601,32
420,0.7771,0.835144,0.0029,0.163757,30.605,32
440,0.7794,0.837036,0.0030,0.161804,30.610,32
460,0.7804,0.820129,0.0026,0.178650,30.454,32
480,0.7747,0.809448,0.0026,0.189514,30.412,32
500,0.7784,0.808289,0.0020,0.190674,30.381,32
520,0.7753,0.807617,0.0019,0.191467,30.355,32
540,0.7794,0.789734,0.0018,0.209106,30.227,32
560,0.7845,0.781982,0.0019,0.216370,30.160,32
580,0.7784,0.765259,0.0021,0.233887,30.103,32
600,0.7804,0.756470,0.0021,0.242981,30.060,32
620,0.7815,0.740295,0.0024,0.257996,29.877,32
640,0.7803,0.743286,0.0028,0.255188,29.926,32
660,0.7816,0.731384,0.0031,0.267578,29.874,32
680,0.7834,0.715454,0.0030,0.283142,29.821,32
700,0.7781,0.710815,0.0027,0.287720,29.793,32
720,0.7772,0.717896,0.0027,0.280823,29.825,32
740,0.7786,0.709229,0.0030,0.289917,29.811,32
760,0.7764,0.697571,0.0029,0.301453,29.793,32
780,0.7822,0.696350,0.0029,0.302185,29.751,32
800,0.7810,0.684692,0.0031,0.314270,29.719,32
820,0.7848,0.660278,0.0029,0.338318,29.591,32
840,0.7817,0.661255,0.0029,0.337341,29.601,32
860,0.7825,0.667664,0.0027,0.331055,29.649,32
