nb,g,lstar,minbytes,N,func_count,density
18,4,9,9,1000000000,25622,2.562200e-05
20,4,9,9,1000000000,9688,9.688000e-06
24,4,9,9,1000000000,2770,2.770000e-06
nb,g,lstar,minbytes,N,func_count,density
7,2,17,17,1000000000,227,2.270000e-07
