epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7783,0.000000,0.0038,0.008301,5.263,26
20,0.7764,0.001221,0.0037,0.064697,7.216,32
40,0.7700,0.023438,0.0038,0.342529,12.748,32
60,0.7783,0.161377,0.0049,0.679443,21.982,32
80,0.7778,0.473389,0.0058,0.510498,27.434,32
100,0.7798,0.677002,0.0063,0.319824,29.413,32
120,0.7822,0.788818,0.0061,0.209229,30.283,32
140,0.7778,0.825439,0.0049,0.172363,30.545,32
160,0.7778,0.831299,0.0046,0.167236,30.613,32
180,0.7778,0.864258,0.0040,0.134521,30.786,32
200,0.7788,0.870850,0.0037,0.129150,30.865,32
220,0.7822,0.894775,0.0048,0.103271,30.959,32
240,0.7803,0.892334,0.0045,0.105957,30.949,32
260,0.7773,0.872803,0.0036,0.125488,30.834,32
280,0.7656,0.859131,0.0024,0.138672,30.731,32
300,0.7700,0.847412,0.0025,0.150391,30.679,32
320,0.7764,0.844238,0.0022,0.154297,30.744,32
340,0.7827,0.847656,0.0017,0.150635,30.772,32
360,0.7827,0.834473,0.0019,0.164062,30.631,32
380,0.7739,0.841064,0.0017,0.158203,30.592,32
400,0.7769,0.858643,0.0019,0.140137,30.772,32
420,0.7832,0.861572,0.0020,0.137451,30.806,32
440,0.7847,0.865723,0.0022,0.134033,30.765,32
460,0.7769,0.839355,0.0019,0.157959,30.618,32
480,0.7788,0.839355,0.0016,0.160156,30.648,32
500,0.7832,0.870605,0.0013,0.128662,30.795,32
520,0.7754,0.872070,0.0014,0.127441,30.831,32
540,0.7812,0.850830,0.0026,0.148682,30.672,32
560,0.7822,0.838623,0.0021,0.161133,30.554,32
580,0.7793,0.836182,0.0018,0.162109,30.550,32
600,0.7783,0.821777,0.0022,0.178223,30.419,32
620,0.7734,0.819092,0.0013,0.179443,30.399,32
640,0.7798,0.840576,0.0012,0.158203,30.570,32
660,0.7749,0.832520,0.0006,0.166748,30.479,32
680,0.7764,0.816406,0.0006,0.182129,30.381,32
700,0.7798,0.805908,0.0005,0.193359,30.231,32
720,0.7705,0.781494,0.0002,0.217529,30.172,32
740,0.7773,0.804199,0.0003,0.194580,30.283,32
760,0.7861,0.774658,0.0002,0.224854,30.104,32
780,0.7793,0.778076,0.0000,0.220215,30.135,32
800,0.7686,0.781738,0.0001,0.217773,30.257,32
820,0.7803,0.759033,0.0001,0.240723,30.134,32
840,0.7764,0.791992,0.0001,0.207031,30.324,32
860,0.7798,0.762451,0.0001,0.236816,30.173,32
