epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7762,0.000000,0.0040,0.005371,5.202,21
100,0.7797,0.000000,0.0036,0.007080,5.187,22
200,0.7768,0.000000,0.0037,0.005371,5.185,24
300,0.7803,0.000000,0.0039,0.005859,5.199,24
400,0.7794,0.000000,0.0038,0.006348,5.199,22
500,0.7792,0.000000,0.0043,0.005615,5.182,22
600,0.7804,0.000000,0.0037,0.005371,5.071,24
700,0.7789,0.000000,0.0041,0.006104,5.253,22
800,0.7791,0.000000,0.0040,0.005859,5.227,22
900,0.7781,0.000000,0.0042,0.004883,5.198,18
1000,0.7787,0.000000,0.0037,0.005371,5.180,18
1100,0.7818,0.000000,0.0041,0.006836,5.253,20
1200,0.7785,0.000000,0.0038,0.004639,5.174,22
1300,0.7785,0.000000,0.0041,0.005615,5.222,22
1400,0.7788,0.000000,0.0040,0.006348,5.176,22
1500,0.7760,0.000000,0.0037,0.004150,5.226,24
1600,0.7785,0.000000,0.0041,0.004883,5.168,22
1700,0.7787,0.000000,0.0036,0.006104,5.194,19
1800,0.7802,0.000000,0.0041,0.005127,5.150,22
1900,0.7805,0.000000,0.0042,0.005615,5.283,20
2000,0.7795,0.000000,0.0037,0.007324,5.192,22
2100,0.7776,0.000000,0.0039,0.006104,5.195,20
2200,0.7791,0.000000,0.0040,0.006104,5.224,24
2300,0.7784,0.000000,0.0040,0.004150,5.201,22
2400,0.7798,0.000000,0.0038,0.004639,5.215,20
2500,0.7811,0.000000,0.0039,0.005859,5.156,20
2600,0.7802,0.000000,0.0041,0.006836,5.206,22
2700,0.7827,0.000000,0.0039,0.005127,5.183,22
2800,0.7778,0.000000,0.0034,0.003906,5.162,22
2900,0.7787,0.000000,0.0038,0.004639,5.243,24
3000,0.7751,0.911865,0.0002,0.024902,29.963,32
3100,0.7798,0.949463,0.0002,0.050293,31.520,32
3200,0.7811,0.964111,0.0003,0.035400,31.657,32
3300,0.7810,0.973633,0.0002,0.026123,31.717,32
3400,0.7787,0.979004,0.0003,0.020508,31.708,32
3500,0.7757,0.979980,0.0004,0.019775,31.691,32
3600,0.7809,0.981445,0.0006,0.018066,31.718,32
3700,0.7802,0.981689,0.0010,0.018311,31.719,32
3800,0.7796,0.984375,0.0009,0.015381,31.746,32
3900,0.7785,0.984375,0.0010,0.014893,31.737,32
4000,0.7821,0.983154,0.0010,0.016357,31.742,32
4100,0.7797,0.981201,0.0009,0.018311,31.725,32
4200,0.7780,0.978516,0.0009,0.020752,31.660,32
4300,0.7799,0.982178,0.0008,0.016846,31.681,32
4400,0.7774,0.984131,0.0011,0.015869,31.700,32
4500,0.7765,0.980713,0.0008,0.018066,31.665,32
4600,0.7812,0.985107,0.0011,0.014160,31.700,32
4700,0.7803,0.979248,0.0007,0.020508,31.676,32
4800,0.7808,0.983154,0.0013,0.016357,31.724,32
4900,0.7809,0.987305,0.0013,0.011963,31.745,32
5000,0.7805,0.986816,0.0010,0.012451,31.719,32
