epoch,selected_frac,func_repl_frac,zero_frac
0,0.7856,0.000000,0.0039
10,0.7781,0.000122,0.0038
20,0.7806,0.001587,0.0038
30,0.7797,0.006409,0.0037
40,0.7777,0.021301,0.0040
50,0.7847,0.064819,0.0043
60,0.7761,0.164795,0.0047
70,0.7797,0.366516,0.0048
80,0.7781,0.586670,0.0047
90,0.7787,0.725708,0.0043
100,0.7787,0.789917,0.0046
110,0.7817,0.810730,0.0046
120,0.7814,0.814209,0.0046
130,0.7814,0.812378,0.0045
140,0.7787,0.808899,0.0046
150,0.7795,0.802124,0.0044
160,0.7775,0.811523,0.0046
170,0.7819,0.802612,0.0044
180,0.7781,0.792725,0.0042
190,0.7793,0.790222,0.0043
200,0.7804,0.788147,0.0045
210,0.7794,0.782776,0.0047
220,0.7776,0.784241,0.0048
230,0.7832,0.788940,0.0049
240,0.7810,0.791016,0.0050
250,0.7760,0.790466,0.0052
260,0.7781,0.802979,0.0057
270,0.7747,0.802551,0.0058
280,0.7809,0.805664,0.0061
290,0.7792,0.809387,0.0061
300,0.7814,0.798523,0.0057
310,0.7794,0.795532,0.0056
320,0.7756,0.788635,0.0057
330,0.7781,0.776550,0.0055
340,0.7789,0.767395,0.0058
350,0.7822,0.773865,0.0059
360,0.7784,0.760315,0.0056
370,0.7770,0.757385,0.0057
380,0.7812,0.757874,0.0060
390,0.7778,0.754333,0.0064
400,0.7789,0.754272,0.0065
410,0.7764,0.759644,0.0064
420,0.7842,0.753357,0.0064
430,0.7775,0.745361,0.0061
440,0.7821,0.740356,0.0061
450,0.7776,0.734619,0.0067
460,0.7798,0.727783,0.0066
470,0.7782,0.725830,0.0068
480,0.7787,0.701477,0.0067
490,0.7759,0.701721,0.0065
500,0.7781,0.701538,0.0064
510,0.7782,0.701172,0.0064
520,0.7831,0.690796,0.0062
530,0.7814,0.687927,0.0063
540,0.7783,0.692200,0.0063
550,0.7803,0.701965,0.0061
560,0.7820,0.694275,0.0061
570,0.7784,0.700256,0.0060
580,0.7809,0.706665,0.0058
590,0.7773,0.696228,0.0057
600,0.7784,0.690491,0.0057
610,0.7772,0.677246,0.0055
620,0.7855,0.672119,0.0053
630,0.7819,0.670593,0.0051
640,0.7745,0.674316,0.0052
650,0.7761,0.680298,0.0050
660,0.7817,0.676270,0.0047
670,0.7772,0.684143,0.0048
680,0.7761,0.674072,0.0053
690,0.7787,0.665222,0.0050
700,0.7776,0.654785,0.0052
710,0.7793,0.658325,0.0051
720,0.7766,0.661255,0.0053
730,0.7753,0.649536,0.0052
740,0.7784,0.641907,0.0056
750,0.7749,0.653687,0.0055
760,0.7766,0.657715,0.0057
770,0.7783,0.644226,0.0056
780,0.7784,0.642761,0.0057
790,0.7745,0.655396,0.0054
800,0.7819,0.641113,0.0056
810,0.7805,0.629272,0.0060
820,0.7788,0.631287,0.0055
830,0.7775,0.626099,0.0053
840,0.7773,0.623596,0.0054
850,0.7738,0.630737,0.0051
