epoch,selected_frac,func_repl_frac,zero_frac
0,0.7856,0.000000,0.0039
10,0.7781,0.000916,0.0038
20,0.7806,0.004944,0.0037
30,0.7797,0.026428,0.0035
40,0.7777,0.091492,0.0032
50,0.7847,0.246521,0.0027
60,0.7761,0.419250,0.0023
70,0.7797,0.577026,0.0020
80,0.7781,0.670410,0.0018
90,0.7787,0.713623,0.0016
100,0.7787,0.736877,0.0013
110,0.7817,0.751343,0.0014
120,0.7814,0.763855,0.0016
130,0.7814,0.767395,0.0016
140,0.7787,0.760254,0.0016
150,0.7795,0.759705,0.0015
160,0.7775,0.762146,0.0015
170,0.7819,0.763611,0.0015
180,0.7781,0.769897,0.0016
190,0.7793,0.787720,0.0017
200,0.7804,0.774109,0.0018
210,0.7794,0.779419,0.0018
220,0.7776,0.789673,0.0018
230,0.7832,0.792175,0.0017
240,0.7810,0.799011,0.0016
250,0.7760,0.806213,0.0017
260,0.7781,0.804749,0.0016
270,0.7747,0.799622,0.0018
280,0.7809,0.800232,0.0018
290,0.7792,0.794861,0.0017
300,0.7814,0.806824,0.0017
310,0.7794,0.801270,0.0015
320,0.7756,0.801147,0.0016
330,0.7781,0.783691,0.0015
340,0.7789,0.780151,0.0014
350,0.7822,0.786133,0.0013
360,0.7784,0.789856,0.0013
370,0.7770,0.795654,0.0012
380,0.7812,0.799805,0.0011
390,0.7778,0.795227,0.0012
400,0.7789,0.804504,0.0012
410,0.7764,0.806519,0.0011
420,0.7842,0.797058,0.0010
430,0.7775,0.802185,0.0011
440,0.7821,0.801697,0.0011
450,0.7776,0.805237,0.0010
460,0.7798,0.811462,0.0009
470,0.7782,0.798462,0.0009
480,0.7787,0.807312,0.0009
490,0.7759,0.796143,0.0010
500,0.7781,0.791748,0.0010
510,0.7782,0.790710,0.0009
520,0.7831,0.783630,0.0009
530,0.7814,0.786987,0.0009
540,0.7783,0.785889,0.0008
550,0.7803,0.778503,0.0008
560,0.7820,0.773254,0.0010
570,0.7784,0.760437,0.0009
580,0.7809,0.750671,0.0008
590,0.7773,0.763062,0.0010
600,0.7784,0.763672,0.0012
610,0.7772,0.766296,0.0010
620,0.7855,0.770203,0.0011
630,0.7819,0.775146,0.0011
640,0.7745,0.778259,0.0010
650,0.7761,0.763611,0.0010
660,0.7817,0.763977,0.0008
670,0.7772,0.758545,0.0009
680,0.7761,0.756531,0.0009
690,0.7787,0.746887,0.0009
700,0.7776,0.753845,0.0010
710,0.7793,0.754700,0.0010
720,0.7766,0.745178,0.0011
730,0.7753,0.745850,0.0009
740,0.7784,0.742554,0.0009
750,0.7749,0.744568,0.0010
760,0.7766,0.737427,0.0009
770,0.7783,0.726440,0.0010
780,0.7784,0.719299,0.0010
790,0.7745,0.725342,0.0010
800,0.7819,0.716492,0.0009
810,0.7805,0.711609,0.0010
820,0.7788,0.714294,0.0009
830,0.7775,0.712646,0.0008
840,0.7773,0.701172,0.0008
