epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7783,0.000000,0.0038,0.006104,5.194,26
100,0.7798,0.000000,0.0038,0.005127,5.192,26
200,0.7788,0.000000,0.0039,0.006104,5.189,22
300,0.7700,0.000000,0.0039,0.006348,5.187,20
400,0.7769,0.000000,0.0039,0.006348,5.159,20
500,0.7832,0.000000,0.0040,0.006348,5.173,24
600,0.7783,0.000000,0.0039,0.006836,5.162,22
700,0.7798,0.000000,0.0039,0.005859,5.147,20
800,0.7686,0.000000,0.0039,0.004883,5.165,20
900,0.7793,0.000000,0.0040,0.004883,5.184,22
1000,0.7832,0.000000,0.0040,0.006348,5.219,22
1100,0.7817,0.000000,0.0040,0.006104,5.211,28
1200,0.7690,0.000000,0.0040,0.006104,5.207,28
1300,0.7817,0.000000,0.0040,0.005859,5.228,28
1400,0.7803,0.000000,0.0040,0.005859,5.232,28
1500,0.7812,0.000000,0.0041,0.005859,5.219,26
1600,0.7720,0.000000,0.0041,0.005127,5.234,22
1700,0.7715,0.000000,0.0041,0.005615,5.231,24
1800,0.7793,0.000000,0.0041,0.006836,5.239,19
1900,0.7808,0.000000,0.0041,0.006836,5.271,20
2000,0.7808,0.000000,0.0041,0.006592,5.308,20
2100,0.7744,0.000000,0.0040,0.006592,5.256,20
2200,0.7808,0.000000,0.0040,0.005615,5.243,20
2300,0.7764,0.000000,0.0040,0.005859,5.250,21
2400,0.7856,0.000000,0.0040,0.004395,5.226,21
2500,0.7842,0.000000,0.0040,0.004639,5.239,21
2600,0.7783,0.000000,0.0039,0.005615,5.239,22
2700,0.7778,0.000000,0.0039,0.004639,5.261,22
2800,0.7798,0.000000,0.0039,0.004639,5.249,22
2900,0.7783,0.000000,0.0040,0.005127,5.237,22
3000,0.7754,0.000000,0.0040,0.004883,5.238,20
3100,0.7817,0.000000,0.0040,0.005127,5.235,26
3200,0.7817,0.000000,0.0040,0.005371,5.261,28
3300,0.7778,0.000000,0.0040,0.005371,5.282,28
3400,0.7769,0.000000,0.0040,0.005127,5.281,24
3500,0.7812,0.000000,0.0040,0.005859,5.292,22
3600,0.7827,0.000000,0.0040,0.006348,5.288,22
3700,0.7837,0.000000,0.0040,0.005615,5.260,28
3800,0.7832,0.000000,0.0039,0.006104,5.260,28
3900,0.7812,0.000000,0.0038,0.003662,5.290,26
4000,0.7861,0.000000,0.0039,0.005615,5.273,24
4100,0.7739,0.000000,0.0040,0.006348,5.278,24
4200,0.7812,0.000000,0.0040,0.005127,5.269,24
4300,0.7827,0.000000,0.0040,0.005127,5.271,24
4400,0.7783,0.000000,0.0039,0.006348,5.275,24
4500,0.7798,0.000000,0.0039,0.007324,5.306,26
4600,0.7842,0.000000,0.0039,0.007812,5.280,24
4700,0.7690,0.000000,0.0039,0.006592,5.262,22
4800,0.7788,0.000000,0.0039,0.005615,5.233,22
4900,0.7832,0.000000,0.0040,0.005127,5.235,22
5000,0.7861,0.000000,0.0040,0.005127,5.229,22
5100,0.7759,0.000000,0.0039,0.004883,5.233,20
5200,0.7852,0.000000,0.0040,0.005371,5.269,20
5300,0.7778,0.000000,0.0040,0.004639,5.291,20
5400,0.7686,0.000000,0.0039,0.003418,5.250,20
5500,0.7705,0.000000,0.0039,0.003906,5.260,22
5600,0.7749,0.000000,0.0040,0.003906,5.236,22
5700,0.7754,0.000000,0.0040,0.005615,5.249,22
5800,0.7744,0.000000,0.0040,0.005127,5.231,22
5900,0.7837,0.000000,0.0041,0.006348,5.206,20
6000,0.7725,0.000000,0.0041,0.007568,5.176,18
6100,0.7900,0.000000,0.0041,0.006348,5.162,20
6200,0.7808,0.000000,0.0040,0.004883,5.172,20
6300,0.7861,0.000000,0.0041,0.004883,5.176,22
6400,0.7871,0.000000,0.0041,0.004150,5.200,22
6500,0.7856,0.000000,0.0041,0.003418,5.171,20
6600,0.7788,0.000000,0.0039,0.004639,5.199,20
6700,0.7720,0.000000,0.0040,0.004883,5.202,20
6800,0.7847,0.000000,0.0041,0.004883,5.175,22
6900,0.7842,0.000000,0.0041,0.005371,5.178,22
7000,0.7817,0.000000,0.0041,0.005127,5.144,20
7100,0.7861,0.000000,0.0041,0.004395,5.137,18
7200,0.7788,0.000000,0.0041,0.005127,5.157,22
7300,0.7793,0.000000,0.0041,0.006348,5.158,22
7400,0.7817,0.000000,0.0041,0.006592,5.182,20
7500,0.7837,0.000000,0.0041,0.005371,5.175,24
7600,0.7803,0.000000,0.0041,0.005127,5.190,24
7700,0.7710,0.000000,0.0041,0.003662,5.149,22
7800,0.7729,0.000000,0.0040,0.004883,5.164,24
7900,0.7871,0.000000,0.0041,0.005615,5.165,24
8000,0.7891,0.000000,0.0041,0.005859,5.209,24
8100,0.7749,0.000000,0.0040,0.006104,5.184,24
8200,0.7852,0.000000,0.0040,0.006592,5.222,26
