epoch,selected_frac,func_repl_frac,zero_frac
0,0.7767,0.307129,0.0039
50,0.7780,0.980225,0.0034
100,0.7791,0.994385,0.0036
150,0.7783,0.993652,0.0034
200,0.7793,0.993896,0.0038
250,0.7781,0.996094,0.0042
300,0.7764,0.992188,0.0038
350,0.7760,0.993164,0.0033
400,0.7792,0.996094,0.0039
450,0.7797,0.992676,0.0039
500,0.7784,0.994385,0.0039
550,0.7812,0.993896,0.0041
600,0.7804,0.998047,0.0046
650,0.7822,0.997314,0.0060
700,0.7781,0.997070,0.0064
750,0.7795,0.996338,0.0054
800,0.7810,0.996582,0.0053
850,0.7843,0.996338,0.0049
900,0.7809,0.995117,0.0044
950,0.7793,0.996582,0.0045
1000,0.7788,0.996338,0.0051
1050,0.7832,0.996338,0.0055
1100,0.7764,0.996582,0.0064
1150,0.7766,0.997803,0.0056
1200,0.7764,0.998779,0.0054
1250,0.7787,0.997559,0.0061
1300,0.7786,0.997803,0.0067
1350,0.7822,0.997070,0.0064
1400,0.7762,0.997803,0.0054
1450,0.7815,0.997559,0.0055
1500,0.7794,0.998291,0.0065
1550,0.7800,0.995850,0.0052
1600,0.7806,0.998779,0.0049
1650,0.7770,0.995361,0.0049
1700,0.7794,0.997803,0.0045
1750,0.7775,0.997314,0.0041
1800,0.7836,0.998291,0.0040
1850,0.7732,0.999023,0.0036
1900,0.7784,0.997559,0.0034
1950,0.7832,0.998047,0.0035
2000,0.7811,0.997559,0.0034
2050,0.7780,0.998047,0.0033
2100,0.7778,0.996826,0.0036
2150,0.7775,0.996338,0.0037
2200,0.7780,0.997070,0.0035
2250,0.7802,0.997803,0.0034
2300,0.7761,0.997070,0.0028
2350,0.7766,0.999023,0.0030
2400,0.7765,0.997559,0.0026
2450,0.7811,0.996094,0.0021
2500,0.7762,0.995850,0.0024
2550,0.7799,0.998779,0.0027
2600,0.7786,0.998047,0.0035
2650,0.7843,0.996826,0.0040
2700,0.7838,0.997559,0.0041
2750,0.7820,0.999023,0.0035
2800,0.7832,0.998291,0.0034
2850,0.7797,0.997559,0.0033
2900,0.7809,0.995361,0.0038
2950,0.7776,0.996094,0.0030
3000,0.7756,0.997803,0.0039
3050,0.7848,0.997559,0.0040
3100,0.7797,0.996826,0.0039
3150,0.7805,0.998291,0.0043
3200,0.7784,0.996094,0.0045
3250,0.7814,0.997559,0.0045
3300,0.7844,0.998047,0.0045
3350,0.7769,0.994629,0.0046
3400,0.7745,0.996582,0.0041
3450,0.7795,0.995850,0.0043
3500,0.7826,0.996826,0.0033
3550,0.7762,0.997803,0.0034
3600,0.7761,0.996826,0.0029
3650,0.7769,0.997803,0.0027
3700,0.7838,0.998047,0.0030
3750,0.7847,0.998535,0.0030
3800,0.7747,0.996826,0.0022
3850,0.7800,0.998291,0.0029
3900,0.7831,0.996582,0.0033
3950,0.7740,0.999023,0.0032
4000,0.7794,0.998291,0.0031
4050,0.7798,0.998291,0.0035
4100,0.7710,0.996582,0.0042
4150,0.7804,0.997314,0.0038
4200,0.7798,0.996582,0.0037
4250,0.7780,0.998779,0.0041
4300,0.7784,0.999023,0.0034
4350,0.7822,0.996338,0.0035
4400,0.7816,0.998535,0.0038
4450,0.7789,0.998779,0.0036
4500,0.7810,0.997070,0.0037
4550,0.7833,0.996826,0.0042
4600,0.7811,0.997559,0.0044
4650,0.7791,0.995850,0.0045
4700,0.7855,0.997559,0.0046
4750,0.7826,0.997070,0.0044
4800,0.7727,0.999268,0.0045
4850,0.7816,0.997070,0.0048
4900,0.7762,0.996094,0.0049
4950,0.7781,0.997559,0.0056
5000,0.7783,0.998535,0.0060
5050,0.7769,0.998779,0.0057
5100,0.7767,0.996338,0.0062
5150,0.7819,0.997803,0.0066
5200,0.7808,0.998047,0.0067
5250,0.7739,0.999023,0.0076
5300,0.7732,0.994629,0.0080
5350,0.7821,0.997070,0.0082
5400,0.7808,0.998047,0.0085
5450,0.7783,0.994873,0.0083
5500,0.7845,0.996826,0.0083
5550,0.7843,0.996582,0.0075
5600,0.7805,0.997803,0.0073
5650,0.7751,0.995117,0.0059
5700,0.7736,0.995850,0.0055
5750,0.7765,0.997314,0.0068
5800,0.7777,0.996582,0.0060
5850,0.7809,0.997803,0.0066
5900,0.7729,0.998047,0.0068
5950,0.7781,0.997070,0.0064
6000,0.7775,0.997559,0.0073
6050,0.7747,0.996094,0.0081
6100,0.7782,0.997559,0.0071
6150,0.7817,0.998291,0.0076
6200,0.7738,0.998779,0.0080
6250,0.7832,0.998291,0.0087
6300,0.7783,0.997803,0.0084
6350,0.7759,0.994629,0.0084
6400,0.7812,0.998047,0.0088
6450,0.7804,0.998291,0.0086
6500,0.7783,0.997314,0.0085
6550,0.7767,0.997559,0.0080
6600,0.7773,0.996338,0.0082
6650,0.7869,0.998047,0.0081
6700,0.7733,0.998779,0.0070
6750,0.7782,0.995361,0.0068
6800,0.7792,0.996094,0.0077
6850,0.7797,0.996094,0.0075
6900,0.7742,0.997314,0.0074
6950,0.7697,0.994385,0.0082
7000,0.7784,0.996826,0.0089
7050,0.7788,0.997314,0.0085
7100,0.7773,0.997559,0.0092
7150,0.7806,0.997314,0.0091
7200,0.7777,0.997559,0.0096
7250,0.7834,0.996826,0.0112
7300,0.7762,0.997314,0.0116
7350,0.7745,0.997803,0.0123
7400,0.7799,0.997314,0.0124
7450,0.7753,0.999023,0.0122
7500,0.7737,0.996826,0.0124
7550,0.7830,0.998047,0.0122
7600,0.7799,0.998047,0.0123
7650,0.7767,0.999512,0.0114
7700,0.7782,0.997803,0.0115
7750,0.7783,0.997314,0.0106
7800,0.7833,0.998291,0.0107
7850,0.7737,0.993408,0.0100
7900,0.7787,0.997559,0.0093
7950,0.7841,0.998291,0.0095
8000,0.7844,0.996582,0.0088
8050,0.7766,0.997070,0.0084
8100,0.7828,0.995605,0.0072
8150,0.7820,0.998291,0.0072
8200,0.7816,0.998047,0.0079
8250,0.7791,0.996826,0.0072
8300,0.7825,0.997803,0.0076
8350,0.7797,0.998535,0.0076
8400,0.7771,0.996094,0.0071
8450,0.7778,0.996094,0.0073
8500,0.7773,0.998291,0.0067
8550,0.7764,0.998779,0.0057
8600,0.7791,0.998047,0.0058
8650,0.7798,0.997314,0.0059
8700,0.7761,0.998047,0.0058
8750,0.7769,0.998779,0.0060
8800,0.7753,0.996826,0.0053
8850,0.7765,0.996826,0.0059
8900,0.7784,0.998535,0.0057
8950,0.7747,0.998535,0.0053
9000,0.7719,0.998291,0.0054
9050,0.7793,0.996826,0.0059
9100,0.7780,0.995117,0.0055
9150,0.7784,0.998291,0.0058
9200,0.7859,0.997070,0.0064
9250,0.7806,0.997803,0.0062
9300,0.7797,0.998047,0.0061
9350,0.7770,0.998047,0.0053
9400,0.7817,0.997559,0.0041
9450,0.7777,0.995605,0.0044
9500,0.7830,0.996826,0.0042
9550,0.7799,0.998047,0.0038
9600,0.7792,0.997559,0.0042
9650,0.7822,0.996826,0.0056
9700,0.7784,0.996582,0.0052
9750,0.7788,0.997070,0.0053
9800,0.7781,0.997070,0.0045
9850,0.7809,0.997803,0.0046
9900,0.7784,0.997559,0.0052
9950,0.7769,0.997559,0.0057
10000,0.7816,0.996338,0.0059
10050,0.7783,0.997314,0.0053
10100,0.7783,0.997070,0.0050
10150,0.7794,0.997559,0.0044
10200,0.7809,0.995850,0.0031
10250,0.7738,0.996582,0.0031
10300,0.7804,0.997803,0.0024
10350,0.7814,0.998535,0.0020
10400,0.7747,0.998535,0.0027
10450,0.7842,0.996826,0.0024
10500,0.7822,0.998779,0.0015
10550,0.7793,0.996338,0.0014
10600,0.7771,0.997803,0.0017
10650,0.7770,0.995117,0.0016
10700,0.7800,0.998779,0.0013
10750,0.7764,0.996338,0.0014
10800,0.7765,0.996826,0.0015
10850,0.7797,0.994873,0.0014
10900,0.7828,0.997559,0.0015
10950,0.7788,0.997803,0.0012
11000,0.7836,0.997070,0.0013
11050,0.7791,0.997803,0.0014
11100,0.7786,0.997314,0.0021
11150,0.7850,0.995605,0.0018
11200,0.7761,0.996094,0.0017
11250,0.7782,0.998535,0.0022
11300,0.7749,0.995850,0.0019
11350,0.7787,0.998047,0.0017
11400,0.7799,0.998779,0.0018
11450,0.7791,0.997803,0.0020
11500,0.7837,0.998779,0.0023
11550,0.7773,0.996826,0.0027
11600,0.7828,0.998291,0.0024
11650,0.7810,0.997559,0.0030
11700,0.7808,0.998291,0.0033
11750,0.7747,0.998047,0.0031
11800,0.7770,0.995850,0.0037
11850,0.7810,0.997803,0.0034
11900,0.7858,0.997314,0.0036
11950,0.7776,0.997803,0.0036
12000,0.7823,0.997803,0.0035
12050,0.7764,0.998291,0.0038
12100,0.7802,0.998047,0.0028
12150,0.7792,0.996582,0.0027
12200,0.7782,0.996094,0.0027
12250,0.7798,0.997803,0.0024
12300,0.7794,0.997314,0.0023
12350,0.7810,0.997070,0.0027
12400,0.7786,0.997803,0.0025
12450,0.7794,0.997559,0.0033
12500,0.7852,0.996338,0.0029
12550,0.7812,0.995117,0.0028
12600,0.7799,0.996826,0.0029
12650,0.7736,0.996338,0.0033
12700,0.7772,0.997559,0.0032
12750,0.7798,0.997803,0.0032
12800,0.7754,0.999512,0.0030
12850,0.7812,0.998779,0.0029
12900,0.7821,0.998047,0.0036
12950,0.7825,0.997559,0.0043
13000,0.7777,0.998535,0.0044
13050,0.7789,0.999023,0.0048
13100,0.7826,0.997803,0.0049
13150,0.7758,0.998047,0.0051
13200,0.7825,0.997559,0.0043
13250,0.7836,0.997559,0.0047
13300,0.7802,0.996582,0.0044
13350,0.7793,0.996338,0.0037
13400,0.7809,0.996826,0.0038
13450,0.7780,0.998047,0.0032
13500,0.7751,0.998779,0.0031
13550,0.7712,0.997803,0.0031
13600,0.7764,0.998047,0.0027
13650,0.7764,0.997070,0.0024
13700,0.7819,0.997559,0.0025
13750,0.7786,0.996826,0.0040
13800,0.7789,0.998047,0.0037
13850,0.7750,0.996338,0.0043
13900,0.7776,0.998047,0.0044
13950,0.7787,0.997803,0.0040
14000,0.7820,0.998291,0.0040
14050,0.7793,0.997070,0.0034
14100,0.7775,0.997559,0.0039
14150,0.7775,0.998535,0.0044
14200,0.7797,0.998047,0.0050
14250,0.7819,0.999268,0.0053
14300,0.7791,0.998535,0.0048
14350,0.7784,0.998779,0.0052
14400,0.7836,0.997559,0.0054
14450,0.7808,0.996826,0.0054
14500,0.7816,0.998535,0.0056
14550,0.7828,0.997803,0.0044
14600,0.7780,0.997803,0.0050
14650,0.7819,0.997314,0.0051
14700,0.7795,0.996826,0.0048
14750,0.7784,0.997803,0.0053
14800,0.7805,0.998047,0.0057
14850,0.7765,0.997803,0.0042
14900,0.7804,0.997070,0.0040
14950,0.7747,0.996826,0.0042
15000,0.7812,0.997070,0.0040
15050,0.7795,0.996582,0.0044
15100,0.7802,0.997314,0.0046
15150,0.7792,0.995361,0.0050
15200,0.7814,0.997559,0.0049
15250,0.7784,0.997314,0.0042
15300,0.7810,0.994873,0.0054
15350,0.7858,0.998291,0.0045
15400,0.7775,0.996826,0.0051
15450,0.7740,0.998535,0.0050
15500,0.7792,0.997314,0.0044
15550,0.7778,0.997803,0.0049
15600,0.7798,0.998535,0.0049
15650,0.7816,0.997559,0.0051
15700,0.7792,0.996094,0.0049
15750,0.7793,0.998291,0.0042
15800,0.7810,0.998779,0.0037
15850,0.7804,0.998047,0.0042
15900,0.7771,0.997803,0.0046
15950,0.7852,0.996826,0.0048
16000,0.7747,0.997803,0.0047
16050,0.7858,0.997803,0.0046
16100,0.7769,0.997559,0.0050
16150,0.7776,0.997070,0.0045
16200,0.7805,0.998291,0.0051
16250,0.7808,0.996826,0.0046
16300,0.7811,0.997070,0.0046
16350,0.7744,0.997803,0.0051
16400,0.7781,0.997559,0.0049
16450,0.7755,0.998047,0.0053
16500,0.7808,0.996094,0.0049
16550,0.7810,0.997559,0.0041
16600,0.7783,0.997559,0.0045
16650,0.7761,0.997803,0.0039
16700,0.7811,0.999023,0.0037
16750,0.7834,0.996094,0.0035
16800,0.7859,0.999023,0.0035
16850,0.7833,0.997559,0.0039
16900,0.7827,0.998779,0.0045
16950,0.7809,0.997559,0.0039
17000,0.7843,0.996094,0.0034
17050,0.7791,0.995605,0.0033
17100,0.7788,0.997559,0.0043
17150,0.7802,0.997559,0.0041
17200,0.7758,0.997803,0.0049
17250,0.7781,0.998291,0.0048
17300,0.7802,0.997314,0.0052
17350,0.7822,0.997803,0.0052
17400,0.7841,0.998047,0.0055
17450,0.7819,0.996094,0.0046
17500,0.7776,0.996582,0.0045
17550,0.7764,0.998047,0.0039
17600,0.7773,0.997559,0.0032
17650,0.7784,0.996582,0.0038
17700,0.7800,0.998047,0.0040
17750,0.7781,0.997070,0.0039
17800,0.7798,0.995361,0.0035
17850,0.7778,0.998291,0.0032
17900,0.7798,0.998779,0.0040
17950,0.7778,0.997559,0.0039
18000,0.7792,0.998779,0.0034
18050,0.7794,0.997070,0.0032
18100,0.7795,0.999023,0.0034
18150,0.7832,0.998535,0.0031
18200,0.7841,0.998291,0.0036
18250,0.7788,0.998291,0.0029
18300,0.7819,0.997070,0.0033
18350,0.7769,0.996094,0.0043
18400,0.7815,0.998291,0.0035
18450,0.7784,0.998291,0.0035
18500,0.7803,0.997314,0.0039
18550,0.7822,0.998779,0.0042
18600,0.7809,0.997559,0.0046
18650,0.7736,0.997803,0.0041
18700,0.7756,0.998291,0.0037
18750,0.7765,0.997803,0.0038
18800,0.7749,0.997314,0.0049
18850,0.7769,0.997559,0.0047
18900,0.7762,0.999268,0.0044
18950,0.7806,0.998535,0.0050
19000,0.7766,0.996826,0.0049
19050,0.7793,0.998779,0.0046
19100,0.7762,0.997070,0.0056
19150,0.7831,0.997803,0.0060
19200,0.7753,0.997314,0.0060
19250,0.7777,0.998535,0.0062
19300,0.7797,0.999023,0.0053
19350,0.7778,0.998291,0.0043
19400,0.7793,0.997070,0.0047
19450,0.7772,0.997803,0.0051
19500,0.7805,0.997559,0.0045
19550,0.7826,0.996826,0.0049
19600,0.7792,0.997803,0.0041
19650,0.7749,0.997803,0.0043
19700,0.7754,0.997070,0.0034
19750,0.7789,0.997803,0.0041
19800,0.7778,0.997803,0.0041
19850,0.7799,0.997070,0.0048
19900,0.7812,0.999023,0.0058
19950,0.7784,0.998535,0.0052
20000,0.7748,0.997803,0.0050
20050,0.7789,0.994873,0.0044
20100,0.7762,0.997803,0.0048
20150,0.7799,0.997314,0.0045
20200,0.7805,0.998047,0.0046
20250,0.7780,0.998779,0.0043
20300,0.7822,0.997803,0.0044
20350,0.7847,0.998291,0.0048
20400,0.7782,0.998047,0.0044
20450,0.7803,0.999023,0.0039
20500,0.7838,0.997314,0.0042
20550,0.7810,0.998047,0.0039
20600,0.7767,0.998291,0.0038
20650,0.7798,0.997803,0.0039
20700,0.7836,0.999023,0.0036
20750,0.7771,0.997559,0.0036
20800,0.7788,0.996826,0.0026
20850,0.7798,0.997803,0.0030
20900,0.7736,0.995850,0.0033
20950,0.7814,0.998047,0.0035
21000,0.7782,0.997803,0.0036
21050,0.7839,0.999268,0.0028
21100,0.7819,0.997803,0.0033
21150,0.7819,0.996094,0.0034
