epoch,selected_frac,func_repl_frac,zero_frac
0,0.7806,0.000000,0.0039
10,0.7789,0.000916,0.0037
20,0.7819,0.008667,0.0034
30,0.7823,0.049622,0.0032
40,0.7799,0.179871,0.0028
50,0.7748,0.411987,0.0020
60,0.7760,0.600220,0.0018
70,0.7814,0.697144,0.0018
80,0.7812,0.767639,0.0019
90,0.7838,0.806396,0.0018
100,0.7834,0.833862,0.0018
110,0.7753,0.853516,0.0020
120,0.7765,0.859375,0.0020
130,0.7799,0.872498,0.0022
140,0.7789,0.881470,0.0019
150,0.7815,0.880493,0.0021
160,0.7809,0.885498,0.0019
170,0.7805,0.901611,0.0019
180,0.7767,0.902283,0.0018
190,0.7792,0.900513,0.0016
200,0.7754,0.901184,0.0016
210,0.7788,0.904724,0.0017
220,0.7789,0.910828,0.0016
230,0.7761,0.904907,0.0017
240,0.7788,0.907104,0.0018
250,0.7806,0.909668,0.0019
260,0.7797,0.909119,0.0020
270,0.7760,0.912476,0.0020
280,0.7842,0.908875,0.0020
290,0.7825,0.905518,0.0019
300,0.7809,0.908813,0.0018
310,0.7792,0.912903,0.0017
320,0.7864,0.913025,0.0017
330,0.7808,0.918213,0.0018
340,0.7747,0.911621,0.0016
350,0.7773,0.914001,0.0018
360,0.7784,0.923950,0.0020
370,0.7770,0.928284,0.0020
380,0.7830,0.926392,0.0023
390,0.7793,0.924133,0.0023
400,0.7806,0.925110,0.0020
410,0.7777,0.925415,0.0020
420,0.7852,0.928223,0.0019
430,0.7758,0.928711,0.0019
440,0.7822,0.927368,0.0019
450,0.7778,0.932373,0.0021
460,0.7733,0.929749,0.0022
470,0.7832,0.927795,0.0023
480,0.7781,0.935791,0.0022
490,0.7770,0.934937,0.0023
500,0.7795,0.932739,0.0020
510,0.7816,0.938416,0.0018
520,0.7837,0.946655,0.0018
530,0.7784,0.947266,0.0018
540,0.7838,0.942383,0.0016
550,0.7766,0.942139,0.0018
560,0.7847,0.942261,0.0017
570,0.7795,0.942505,0.0018
580,0.7820,0.940979,0.0020
590,0.7828,0.945496,0.0020
600,0.7827,0.946228,0.0020
610,0.7780,0.943359,0.0022
620,0.7806,0.946716,0.0021
630,0.7789,0.949524,0.0021
640,0.7797,0.946655,0.0023
650,0.7798,0.950073,0.0024
660,0.7821,0.953125,0.0025
670,0.7819,0.951782,0.0027
680,0.7756,0.952209,0.0025
690,0.7775,0.950867,0.0027
700,0.7827,0.942688,0.0028
710,0.7832,0.944153,0.0028
720,0.7783,0.942200,0.0029
730,0.7770,0.941895,0.0029
740,0.7775,0.939941,0.0030
750,0.7780,0.942566,0.0030
760,0.7832,0.946594,0.0030
770,0.7758,0.952698,0.0029
780,0.7797,0.953674,0.0028
790,0.7806,0.947021,0.0025
800,0.7767,0.944336,0.0028
810,0.7766,0.945862,0.0029
820,0.7814,0.953552,0.0027
830,0.7799,0.953247,0.0027
840,0.7784,0.942017,0.0029
