epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
1060,0.7754,0.9949,0.9949,0.0000,0.9011,0.9011,0.9883,1,44.0,0.9944,1.0000,0.3664
1080,0.7811,0.9976,0.9976,0.0000,0.9004,0.8999,0.9856,1,45.3,0.9934,0.9980,0.3638
1100,0.7734,0.9980,0.9980,0.0000,0.9009,0.9009,0.9858,1,46.4,0.9915,1.0000,0.3598
1120,0.7817,0.9990,0.9990,0.0005,0.8948,0.8948,0.9819,1,45.6,0.9922,0.9980,0.3589
1140,0.7766,0.9985,0.9985,0.0000,0.9023,0.9023,0.9856,1,44.6,0.9951,0.9961,0.3529
1160,0.7784,0.9971,0.9971,0.0000,0.8965,0.8965,0.9895,1,44.6,0.9941,1.0000,0.3526
1180,0.7809,0.9954,0.9954,0.0000,0.8909,0.8909,0.9851,1,46.3,0.9915,1.0000,0.3512
1200,0.7809,0.9971,0.9971,0.0000,0.9048,0.9045,0.9839,1,47.0,0.9905,1.0000,0.3474
1220,0.7784,0.9968,0.9968,0.0005,0.8958,0.8955,0.9858,1,46.4,0.9907,0.9980,0.3476
1240,0.7803,0.9963,0.9963,0.0007,0.8916,0.8916,0.9875,1,43.7,0.9939,1.0000,0.3410
1260,0.7789,0.9980,0.9980,0.0012,0.8884,0.8884,0.9829,1,45.8,0.9907,1.0000,0.3363
1280,0.7805,0.9983,0.9983,0.0002,0.9155,0.9155,0.9897,1,43.1,0.9956,0.9980,0.3380
1300,0.7759,0.9968,0.9968,0.0000,0.9143,0.9143,0.9885,1,43.7,0.9954,0.9961,0.3344
1320,0.7732,0.9980,0.9980,0.0000,0.9075,0.9070,0.9890,1,44.0,0.9946,1.0000,0.3314
1340,0.7784,0.9973,0.9973,0.0005,0.8918,0.8914,0.9861,1,45.1,0.9919,1.0000,0.3278
1360,0.7817,0.9983,0.9983,0.0000,0.8943,0.8943,0.9851,1,44.8,0.9934,0.9961,0.3221
1380,0.7773,0.9978,0.9978,0.0000,0.8853,0.8853,0.9836,1,44.3,0.9934,0.9922,0.3204
1400,0.7787,0.9980,0.9980,0.0000,0.8958,0.8958,0.9846,1,44.4,0.9917,0.9961,0.3139
1420,0.7806,0.9976,0.9976,0.0000,0.9033,0.9033,0.9873,1,43.2,0.9946,1.0000,0.3093
1440,0.7808,0.9958,0.9958,0.0000,0.8916,0.8914,0.9814,1,43.6,0.9937,0.9980,0.3039
1460,0.7728,0.9998,0.9998,0.0000,0.8936,0.8936,0.9897,1,43.4,0.9958,0.9980,0.3016
1480,0.7758,0.9980,0.9980,0.0000,0.8877,0.8877,0.9846,1,44.4,0.9924,0.9980,0.2954
1500,0.7787,0.9971,0.9971,0.0002,0.8833,0.8831,0.9880,1,42.8,0.9971,1.0000,0.2921
1520,0.7827,0.9983,0.9983,0.0000,0.8862,0.8860,0.9890,1,44.2,0.9954,0.9980,0.2907
1540,0.7820,0.9976,0.9976,0.0000,0.8713,0.8713,0.9827,1,46.9,0.9900,1.0000,0.2883
1560,0.7820,0.9966,0.9966,0.0000,0.8789,0.8787,0.9863,1,44.3,0.9944,0.9980,0.2906
1580,0.7782,0.9976,0.9976,0.0000,0.8899,0.8899,0.9849,1,46.1,0.9932,1.0000,0.2867
1600,0.7793,0.9976,0.9976,0.0000,0.8689,0.8689,0.9851,1,44.4,0.9951,1.0000,0.2819
1620,0.7811,0.9976,0.9976,0.0000,0.8726,0.8726,0.9880,1,44.1,0.9941,0.9980,0.2817
1640,0.7802,0.9985,0.9985,0.0000,0.8704,0.8704,0.9829,1,45.0,0.9922,1.0000,0.2807
1660,0.7721,0.9966,0.9966,0.0000,0.8652,0.8652,0.9868,1,43.9,0.9946,1.0000,0.2739
1680,0.7794,0.9963,0.9963,0.0000,0.8657,0.8657,0.9824,1,44.1,0.9919,1.0000,0.2687
1700,0.7812,0.9971,0.9971,0.0000,0.8628,0.8628,0.9871,1,43.6,0.9934,0.9980,0.2633
1720,0.7784,0.9978,0.9978,0.0000,0.8674,0.8674,0.9858,1,44.0,0.9934,1.0000,0.2576
1740,0.7794,0.9951,0.9951,0.0000,0.8472,0.8469,0.9856,1,44.3,0.9939,0.9941,0.2522
1760,0.7797,0.9971,0.9971,0.0000,0.8625,0.8625,0.9888,1,44.9,0.9932,0.9980,0.2513
1780,0.7784,0.9980,0.9980,0.0000,0.8525,0.8525,0.9836,1,45.2,0.9907,1.0000,0.2532
1800,0.7814,0.9978,0.9978,0.0015,0.8525,0.8525,0.9895,1,43.0,0.9946,1.0000,0.2481
1820,0.7798,0.9954,0.9954,0.0015,0.8411,0.8411,0.9849,1,44.1,0.9919,1.0000,0.2486
1840,0.7817,0.9968,0.9968,0.0012,0.8284,0.8279,0.9846,1,42.8,0.9946,1.0000,0.2486
1860,0.7863,0.9971,0.9971,0.0010,0.8372,0.8372,0.9873,1,44.0,0.9941,0.9980,0.2447
1880,0.7809,0.9966,0.9966,0.0000,0.8125,0.8125,0.9858,1,43.4,0.9929,1.0000,0.2423
1900,0.7770,0.9973,0.9973,0.0000,0.8208,0.8203,0.9856,1,42.8,0.9941,1.0000,0.2404
1920,0.7810,0.9973,0.9973,0.0010,0.8127,0.8127,0.9839,1,43.8,0.9924,0.9961,0.2342
1940,0.7778,0.9978,0.9978,0.0000,0.8152,0.8149,0.9844,1,43.8,0.9915,0.9961,0.2312
1960,0.7804,0.9971,0.9971,0.0000,0.7859,0.7859,0.9868,1,42.8,0.9944,1.0000,0.2274
1980,0.7778,0.9980,0.9980,0.0002,0.7966,0.7966,0.9878,1,42.8,0.9949,1.0000,0.2254
2000,0.7762,0.9961,0.9961,0.0000,0.7644,0.7642,0.9834,1,43.8,0.9910,1.0000,0.2245
2020,0.7788,0.9976,0.9976,0.0000,0.7744,0.7744,0.9861,1,43.2,0.9937,1.0000,0.2187
2040,0.7795,0.9961,0.9961,0.0000,0.7788,0.7788,0.9829,1,43.0,0.9929,1.0000,0.2206
2060,0.7788,0.9971,0.9971,0.0000,0.7830,0.7830,0.9854,1,43.0,0.9934,0.9961,0.2161
2080,0.7786,0.9937,0.9937,0.0000,0.7876,0.7876,0.9827,1,43.2,0.9929,0.9941,0.2154
2100,0.7802,0.9978,0.9978,0.0000,0.7959,0.7957,0.9873,1,43.5,0.9934,0.9941,0.2127
2120,0.7740,0.9990,0.9990,0.0000,0.8020,0.8020,0.9878,1,43.9,0.9944,1.0000,0.2115
2140,0.7780,0.9971,0.9971,0.0000,0.7847,0.7847,0.9861,1,44.6,0.9941,0.9980,0.2099
2160,0.7759,0.9949,0.9949,0.0000,0.7695,0.7695,0.9834,1,44.6,0.9927,0.9980,0.2061
2180,0.7773,0.9973,0.9973,0.0000,0.7573,0.7571,0.9861,1,41.5,0.9954,1.0000,0.2052
2200,0.7802,0.9971,0.9971,0.0000,0.7866,0.7866,0.9890,1,43.4,0.9941,0.9980,0.2013
2220,0.7760,0.9961,0.9961,0.0000,0.7905,0.7905,0.9871,1,43.4,0.9934,0.9980,0.2010
2240,0.7772,0.9968,0.9968,0.0000,0.7751,0.7751,0.9868,1,43.9,0.9934,1.0000,0.1984
2260,0.7772,0.9978,0.9978,0.0000,0.7600,0.7600,0.9841,1,43.8,0.9905,1.0000,0.1919
