epoch,selected_frac,func_repl_frac,zero_frac
0,0.7800,0.000000,0.0040
10,0.7826,0.000916,0.0038
20,0.7837,0.006409,0.0037
30,0.7798,0.033203,0.0034
40,0.7765,0.139465,0.0032
50,0.7806,0.341858,0.0031
60,0.7784,0.554260,0.0030
70,0.7825,0.687439,0.0031
80,0.7800,0.757935,0.0030
90,0.7744,0.790771,0.0031
100,0.7742,0.810181,0.0029
110,0.7832,0.818298,0.0030
120,0.7770,0.822754,0.0034
130,0.7817,0.832642,0.0036
140,0.7786,0.834717,0.0036
150,0.7781,0.841431,0.0037
160,0.7823,0.834045,0.0032
170,0.7787,0.843323,0.0032
180,0.7806,0.848755,0.0035
190,0.7891,0.846497,0.0034
200,0.7819,0.850098,0.0034
210,0.7711,0.855774,0.0038
220,0.7770,0.866333,0.0036
230,0.7762,0.875549,0.0035
240,0.7788,0.875549,0.0036
250,0.7781,0.883057,0.0036
260,0.7758,0.890991,0.0035
270,0.7761,0.894897,0.0038
280,0.7805,0.904907,0.0039
290,0.7791,0.909363,0.0040
300,0.7814,0.914490,0.0038
310,0.7744,0.917419,0.0038
320,0.7770,0.922363,0.0038
330,0.7823,0.924927,0.0040
340,0.7808,0.931580,0.0040
350,0.7794,0.935059,0.0039
360,0.7772,0.939026,0.0038
370,0.7814,0.939087,0.0039
380,0.7780,0.938049,0.0039
390,0.7780,0.937317,0.0039
400,0.7820,0.936462,0.0041
410,0.7761,0.943298,0.0039
420,0.7850,0.942444,0.0039
430,0.7794,0.938477,0.0042
440,0.7794,0.928162,0.0042
450,0.7814,0.933655,0.0040
460,0.7820,0.945740,0.0039
470,0.7781,0.944824,0.0042
480,0.7814,0.943420,0.0045
490,0.7798,0.939331,0.0046
500,0.7780,0.939331,0.0045
510,0.7778,0.936035,0.0048
520,0.7798,0.940125,0.0050
530,0.7767,0.939026,0.0050
540,0.7782,0.935425,0.0051
550,0.7787,0.935120,0.0051
560,0.7834,0.941040,0.0048
570,0.7739,0.941528,0.0049
580,0.7794,0.946777,0.0051
590,0.7798,0.948059,0.0049
600,0.7810,0.947571,0.0048
610,0.7809,0.948853,0.0050
620,0.7799,0.950928,0.0048
630,0.7756,0.948853,0.0049
640,0.7832,0.949036,0.0049
650,0.7830,0.949524,0.0047
660,0.7715,0.947693,0.0045
670,0.7786,0.944092,0.0044
680,0.7806,0.944580,0.0041
690,0.7804,0.943604,0.0041
700,0.7758,0.943176,0.0045
710,0.7784,0.940735,0.0042
720,0.7815,0.935364,0.0044
730,0.7781,0.935242,0.0042
740,0.7816,0.937744,0.0040
750,0.7754,0.926880,0.0040
760,0.7797,0.934937,0.0040
770,0.7817,0.936768,0.0041
780,0.7828,0.936401,0.0041
790,0.7753,0.930481,0.0044
800,0.7771,0.934143,0.0042
810,0.7799,0.939026,0.0044
820,0.7759,0.936157,0.0045
830,0.7827,0.943542,0.0047
840,0.7792,0.943054,0.0045
