nb,g,lstar,minbytes,N,func_count,density
10,4,9,9,1000000000,701725,7.017250e-04
10,2,17,17,1000000000,2,2.000000e-09
12,4,9,9,1000000000,281523,2.815230e-04
12,2,17,17,1000000000,0,0.000000e+00
14,4,9,9,1000000000,117561,1.175610e-04
14,2,17,17,1000000000,0,0.000000e+00
16,4,9,9,1000000000,38910,3.891000e-05
16,2,17,17,1000000000,0,0.000000e+00
