epoch,selected_frac,func_repl_frac,zero_frac
0,0.7861,0.000000,0.0039
10,0.7775,0.000122,0.0039
20,0.7783,0.000732,0.0041
30,0.7786,0.003479,0.0041
40,0.7805,0.011841,0.0044
50,0.7751,0.040833,0.0051
60,0.7827,0.122314,0.0051
70,0.7767,0.270386,0.0050
80,0.7822,0.460266,0.0048
90,0.7787,0.622864,0.0048
100,0.7770,0.714661,0.0047
110,0.7758,0.755005,0.0045
120,0.7765,0.784973,0.0045
130,0.7759,0.792786,0.0049
140,0.7782,0.795898,0.0047
150,0.7777,0.810913,0.0047
160,0.7775,0.805664,0.0045
170,0.7743,0.811523,0.0043
180,0.7792,0.818909,0.0042
190,0.7773,0.820435,0.0043
200,0.7777,0.826782,0.0043
210,0.7782,0.818054,0.0042
220,0.7833,0.827576,0.0043
230,0.7764,0.831909,0.0042
240,0.7789,0.831909,0.0044
250,0.7810,0.815369,0.0044
260,0.7777,0.818970,0.0046
270,0.7808,0.813721,0.0045
280,0.7836,0.823669,0.0048
290,0.7832,0.825684,0.0052
300,0.7803,0.818115,0.0046
310,0.7817,0.819824,0.0048
320,0.7795,0.815186,0.0050
330,0.7769,0.823059,0.0049
340,0.7777,0.828003,0.0048
350,0.7791,0.825684,0.0050
360,0.7822,0.823425,0.0051
370,0.7747,0.819458,0.0050
380,0.7778,0.821167,0.0050
390,0.7812,0.831177,0.0046
400,0.7811,0.820923,0.0048
410,0.7806,0.806580,0.0046
420,0.7770,0.808411,0.0044
430,0.7852,0.804260,0.0048
440,0.7738,0.811035,0.0047
450,0.7723,0.810059,0.0046
460,0.7777,0.806030,0.0046
470,0.7842,0.806458,0.0044
480,0.7821,0.801941,0.0045
490,0.7772,0.807129,0.0045
500,0.7815,0.805481,0.0044
510,0.7788,0.799133,0.0045
520,0.7792,0.792480,0.0044
530,0.7798,0.787537,0.0045
540,0.7819,0.787964,0.0045
550,0.7781,0.788086,0.0048
560,0.7780,0.786499,0.0052
570,0.7789,0.788879,0.0051
580,0.7761,0.774719,0.0051
590,0.7767,0.779785,0.0052
600,0.7754,0.760376,0.0051
610,0.7798,0.759399,0.0052
620,0.7799,0.749878,0.0051
630,0.7795,0.739380,0.0049
640,0.7791,0.749329,0.0049
650,0.7803,0.735046,0.0048
660,0.7778,0.715576,0.0047
670,0.7792,0.701294,0.0046
680,0.7832,0.691101,0.0043
690,0.7804,0.685303,0.0041
700,0.7731,0.677368,0.0039
710,0.7798,0.677979,0.0040
720,0.7793,0.683411,0.0039
730,0.7772,0.688599,0.0037
740,0.7766,0.687988,0.0042
750,0.7841,0.672302,0.0043
760,0.7810,0.672363,0.0042
770,0.7814,0.679626,0.0042
780,0.7786,0.666687,0.0042
790,0.7800,0.674561,0.0044
800,0.7762,0.668396,0.0040
810,0.7806,0.660767,0.0039
820,0.7767,0.656555,0.0036
830,0.7815,0.657471,0.0036
840,0.7819,0.670044,0.0033
850,0.7810,0.673096,0.0031
860,0.7781,0.666626,0.0033
