epoch,selected_frac,func_repl_frac,zero_frac
0,0.7767,0.000000,0.0039
100,0.7791,0.000000,0.0039
200,0.7793,0.000000,0.0038
300,0.7764,0.000000,0.0038
400,0.7792,0.000000,0.0039
500,0.7784,0.000000,0.0039
600,0.7804,0.000000,0.0039
700,0.7781,0.000000,0.0039
800,0.7810,0.000000,0.0039
900,0.7809,0.000000,0.0039
1000,0.7788,0.000000,0.0039
1100,0.7764,0.937927,0.0001
1200,0.7764,0.841187,0.0003
1300,0.7786,0.906860,0.0005
1400,0.7762,0.948669,0.0004
1500,0.7794,0.967896,0.0004
1600,0.7806,0.969666,0.0005
1700,0.7794,0.976501,0.0007
1800,0.7836,0.980225,0.0007
1900,0.7784,0.985352,0.0007
2000,0.7811,0.982117,0.0007
2100,0.7778,0.984619,0.0010
2200,0.7780,0.982300,0.0009
2300,0.7761,0.983093,0.0012
2400,0.7765,0.980530,0.0016
2500,0.7762,0.986023,0.0013
2600,0.7786,0.985718,0.0009
2700,0.7838,0.984253,0.0006
2800,0.7832,0.984985,0.0006
2900,0.7809,0.984619,0.0007
3000,0.7756,0.984802,0.0010
3100,0.7797,0.986694,0.0012
