epoch,selected_frac,func_repl_frac,zero_frac
0,0.7767,0.000000,0.0039
10,0.7834,0.000000,0.0038
20,0.7784,0.000244,0.0037
30,0.7754,0.002136,0.0036
40,0.7781,0.015381,0.0034
50,0.7780,0.067932,0.0029
60,0.7794,0.190552,0.0025
70,0.7795,0.376038,0.0022
80,0.7808,0.547974,0.0019
90,0.7826,0.655334,0.0021
100,0.7791,0.707825,0.0021
110,0.7821,0.753113,0.0021
120,0.7762,0.777893,0.0021
130,0.7828,0.787659,0.0021
140,0.7794,0.793945,0.0021
150,0.7783,0.795776,0.0018
160,0.7776,0.804382,0.0018
170,0.7771,0.810974,0.0019
180,0.7776,0.813599,0.0020
190,0.7787,0.814270,0.0020
200,0.7793,0.804993,0.0019
210,0.7770,0.802063,0.0021
220,0.7792,0.811401,0.0020
230,0.7772,0.802612,0.0018
240,0.7816,0.809509,0.0020
250,0.7781,0.829041,0.0021
260,0.7825,0.822632,0.0022
270,0.7804,0.830444,0.0023
280,0.7787,0.832397,0.0024
290,0.7804,0.824829,0.0025
300,0.7764,0.822388,0.0024
310,0.7819,0.823914,0.0025
320,0.7794,0.829834,0.0025
330,0.7733,0.822815,0.0024
340,0.7791,0.826477,0.0023
350,0.7760,0.833984,0.0025
360,0.7805,0.836914,0.0025
370,0.7789,0.835938,0.0026
380,0.7804,0.841736,0.0027
390,0.7795,0.841431,0.0028
400,0.7792,0.845398,0.0028
410,0.7828,0.838928,0.0029
420,0.7771,0.835144,0.0029
430,0.7770,0.840881,0.0029
440,0.7794,0.837036,0.0030
450,0.7797,0.824890,0.0026
460,0.7804,0.820129,0.0026
470,0.7776,0.817200,0.0026
480,0.7747,0.809448,0.0026
490,0.7805,0.816467,0.0022
500,0.7784,0.808289,0.0020
510,0.7799,0.813599,0.0021
520,0.7753,0.807617,0.0019
530,0.7836,0.799377,0.0019
540,0.7794,0.789734,0.0018
550,0.7812,0.782532,0.0018
560,0.7845,0.781982,0.0019
570,0.7780,0.768616,0.0022
580,0.7784,0.765259,0.0021
590,0.7772,0.759888,0.0020
600,0.7804,0.756470,0.0021
610,0.7804,0.745972,0.0021
620,0.7815,0.740295,0.0024
630,0.7733,0.744324,0.0026
640,0.7803,0.743286,0.0028
650,0.7822,0.751343,0.0029
660,0.7816,0.731384,0.0031
670,0.7823,0.727661,0.0029
680,0.7834,0.715454,0.0030
690,0.7823,0.714539,0.0028
700,0.7781,0.710815,0.0027
710,0.7782,0.715759,0.0029
720,0.7772,0.717896,0.0027
730,0.7811,0.717346,0.0029
740,0.7786,0.709229,0.0030
750,0.7795,0.704102,0.0030
760,0.7764,0.697571,0.0029
770,0.7811,0.699402,0.0031
780,0.7822,0.696350,0.0029
790,0.7793,0.683655,0.0028
800,0.7810,0.684692,0.0031
810,0.7787,0.675293,0.0028
820,0.7848,0.660278,0.0029
830,0.7753,0.650330,0.0031
840,0.7817,0.661255,0.0029
850,0.7843,0.669678,0.0030
