epoch,selected_frac,func_repl_frac,zero_frac
0,0.7861,0.000000,0.0039
10,0.7775,0.000610,0.0039
20,0.7783,0.005737,0.0040
30,0.7786,0.041931,0.0039
40,0.7805,0.149902,0.0037
50,0.7751,0.369385,0.0035
60,0.7827,0.582092,0.0034
70,0.7767,0.702759,0.0034
80,0.7822,0.759338,0.0034
90,0.7787,0.810059,0.0032
100,0.7770,0.843445,0.0035
110,0.7758,0.863098,0.0035
120,0.7765,0.887207,0.0030
130,0.7759,0.893311,0.0033
140,0.7782,0.895874,0.0033
150,0.7777,0.903870,0.0035
160,0.7775,0.900391,0.0035
170,0.7743,0.910889,0.0034
180,0.7792,0.910156,0.0034
190,0.7773,0.904114,0.0033
200,0.7777,0.914307,0.0032
210,0.7782,0.912659,0.0035
220,0.7833,0.909790,0.0035
230,0.7764,0.917358,0.0034
240,0.7789,0.928040,0.0035
250,0.7810,0.934204,0.0037
260,0.7777,0.936890,0.0037
270,0.7808,0.938782,0.0035
280,0.7836,0.935547,0.0034
290,0.7832,0.935303,0.0031
300,0.7803,0.936462,0.0033
310,0.7817,0.936646,0.0031
320,0.7795,0.935486,0.0029
330,0.7769,0.931213,0.0028
340,0.7777,0.937866,0.0027
350,0.7791,0.933472,0.0028
360,0.7822,0.939392,0.0028
370,0.7747,0.943420,0.0027
380,0.7778,0.937500,0.0028
390,0.7812,0.936096,0.0029
400,0.7811,0.947327,0.0028
410,0.7806,0.950989,0.0028
420,0.7770,0.945312,0.0028
430,0.7852,0.947266,0.0029
440,0.7738,0.950195,0.0031
450,0.7723,0.944153,0.0031
460,0.7777,0.940613,0.0030
470,0.7842,0.939026,0.0031
480,0.7821,0.942749,0.0032
490,0.7772,0.937988,0.0030
500,0.7815,0.943298,0.0028
510,0.7788,0.945923,0.0029
520,0.7792,0.946960,0.0030
530,0.7798,0.942810,0.0031
540,0.7819,0.948303,0.0031
550,0.7781,0.950806,0.0031
560,0.7780,0.957886,0.0031
570,0.7789,0.951660,0.0031
580,0.7761,0.952393,0.0029
590,0.7767,0.955017,0.0030
600,0.7754,0.956116,0.0030
610,0.7798,0.949158,0.0031
620,0.7799,0.950195,0.0029
630,0.7795,0.953186,0.0030
640,0.7791,0.953857,0.0030
650,0.7803,0.952271,0.0029
660,0.7778,0.951721,0.0032
670,0.7792,0.946228,0.0032
680,0.7832,0.947754,0.0033
690,0.7804,0.950806,0.0031
700,0.7731,0.948792,0.0030
710,0.7798,0.945557,0.0028
720,0.7793,0.940735,0.0025
730,0.7772,0.947144,0.0025
740,0.7766,0.953491,0.0025
750,0.7841,0.955750,0.0026
760,0.7810,0.948914,0.0026
770,0.7814,0.952637,0.0028
780,0.7786,0.948853,0.0028
790,0.7800,0.948669,0.0028
800,0.7762,0.948242,0.0027
810,0.7806,0.947266,0.0027
820,0.7767,0.947510,0.0027
830,0.7815,0.945129,0.0027
840,0.7819,0.946167,0.0025
