epoch,selected_frac,func_repl_frac,zero_frac
0,0.7806,0.000000,0.0039
100,0.7834,0.000000,0.0040
200,0.7754,0.000000,0.0039
300,0.7809,0.000000,0.0039
400,0.7806,0.000000,0.0039
500,0.7795,0.000000,0.0040
600,0.7827,0.000000,0.0040
700,0.7827,0.000000,0.0040
800,0.7767,0.000000,0.0040
900,0.7784,0.000000,0.0040
1000,0.7770,0.000000,0.0039
1100,0.7782,0.000000,0.0039
1200,0.7820,0.000000,0.0039
1300,0.7783,0.000000,0.0039
1400,0.7837,0.000000,0.0039
1500,0.7788,0.000000,0.0040
1600,0.7836,0.000000,0.0040
1700,0.7770,0.000000,0.0039
1800,0.7822,0.000000,0.0040
1900,0.7795,0.000000,0.0039
2000,0.7793,0.000000,0.0040
2100,0.7816,0.000000,0.0040
2200,0.7823,0.000000,0.0040
2300,0.7816,0.000000,0.0040
2400,0.7755,0.000000,0.0040
2500,0.7770,0.000000,0.0040
2600,0.7792,0.000000,0.0040
2700,0.7782,0.000000,0.0039
2800,0.7793,0.000000,0.0039
2900,0.7781,0.000000,0.0039
3000,0.7811,0.000000,0.0039
3100,0.7821,0.000000,0.0039
3200,0.7803,0.000000,0.0039
3300,0.7799,0.000000,0.0039
3400,0.7804,0.000000,0.0039
3500,0.7759,0.000000,0.0039
3600,0.7833,0.000000,0.0039
3700,0.7821,0.000000,0.0038
3800,0.7855,0.000000,0.0038
3900,0.7803,0.000000,0.0038
4000,0.7775,0.000000,0.0038
4100,0.7773,0.000000,0.0038
4200,0.7773,0.918762,0.0001
4300,0.7819,0.802490,0.0003
4400,0.7794,0.966492,0.0003
4500,0.7776,0.977356,0.0006
4600,0.7776,0.981018,0.0008
4700,0.7753,0.983826,0.0009
4800,0.7755,0.984253,0.0014
4900,0.7822,0.987183,0.0020
5000,0.7719,0.988037,0.0026
5100,0.7849,0.987915,0.0026
5200,0.7766,0.987976,0.0023
5300,0.7811,0.988342,0.0018
5400,0.7760,0.985962,0.0013
5500,0.7793,0.990601,0.0009
5600,0.7784,0.989014,0.0015
5700,0.7826,0.988708,0.0015
5800,0.7721,0.991516,0.0017
5900,0.7795,0.988342,0.0009
6000,0.7847,0.988098,0.0013
6100,0.7788,0.988892,0.0007
6200,0.7769,0.988342,0.0011
