epoch,selected_frac,func_repl_frac,zero_frac,partial_frac,mean_copybytes,max_copybytes
0,0.7806,0.000000,0.0039,0.006226,5.254,24
20,0.7819,0.000793,0.0041,0.051147,6.883,32
40,0.7799,0.025696,0.0037,0.335999,12.963,32
60,0.7760,0.236938,0.0027,0.660034,23.573,32
80,0.7812,0.551575,0.0022,0.438293,28.083,32
100,0.7834,0.708618,0.0022,0.286560,29.479,32
120,0.7765,0.760742,0.0017,0.236938,29.922,32
140,0.7789,0.777832,0.0019,0.220886,30.101,32
160,0.7809,0.786865,0.0019,0.211914,30.218,32
180,0.7767,0.789917,0.0018,0.209106,30.215,32
200,0.7754,0.792175,0.0014,0.206909,30.288,32
220,0.7789,0.792175,0.0012,0.206909,30.260,32
240,0.7788,0.805054,0.0010,0.193848,30.280,32
260,0.7797,0.809753,0.0010,0.189453,30.357,32
280,0.7842,0.822388,0.0009,0.177002,30.465,32
300,0.7809,0.809265,0.0008,0.189819,30.383,32
320,0.7864,0.808533,0.0008,0.190125,30.358,32
340,0.7747,0.814270,0.0008,0.184875,30.462,32
360,0.7784,0.817505,0.0010,0.181030,30.435,32
380,0.7830,0.813477,0.0012,0.186096,30.350,32
400,0.7806,0.812073,0.0012,0.187195,30.324,32
420,0.7852,0.821899,0.0012,0.177307,30.420,32
440,0.7822,0.822815,0.0012,0.176086,30.431,32
460,0.7733,0.807922,0.0013,0.191284,30.339,32
480,0.7781,0.815063,0.0012,0.183472,30.415,32
500,0.7795,0.811462,0.0016,0.187439,30.383,32
520,0.7837,0.826782,0.0013,0.172791,30.496,32
540,0.7838,0.829773,0.0011,0.169861,30.485,32
560,0.7847,0.823547,0.0010,0.176147,30.407,32
580,0.7820,0.842163,0.0011,0.157166,30.525,32
600,0.7827,0.834412,0.0010,0.164978,30.471,32
620,0.7806,0.835083,0.0010,0.163574,30.455,32
640,0.7797,0.832703,0.0010,0.166687,30.515,32
660,0.7821,0.835938,0.0010,0.163147,30.534,32
680,0.7756,0.832947,0.0013,0.165710,30.500,32
700,0.7827,0.839294,0.0016,0.159485,30.497,32
720,0.7783,0.848022,0.0017,0.151306,30.616,32
740,0.7775,0.848206,0.0018,0.151184,30.609,32
760,0.7832,0.867920,0.0017,0.131287,30.759,32
780,0.7797,0.860596,0.0016,0.138733,30.706,32
800,0.7767,0.858704,0.0016,0.140076,30.681,32
820,0.7814,0.868164,0.0018,0.130981,30.700,32
840,0.7784,0.867432,0.0017,0.131531,30.703,32
860,0.7799,0.866455,0.0017,0.133057,30.658,32
